precontext,target_sentence,postcontext,substitutions,replace,replace_proc
"I need more capacity in that end of the market,",and this is factory is critical to meeting that growing demand.,"If IBM has miscalculated the demand, it will suffer badly as both the high operating costs and depreciation on the huge capital investment for the East Fishkill factory drag down earnings.","{'factory': 'branch out;build;expand;facility;location;manufacturing plant;plant;spot', 'critical': 'central;crucial;crucical;essential;fundamental;important;integral;necessary;urgent;vital', 'meeting': 'achieve;answer;cater to;fill;provide;see;supply', 'growing': 'blossom;booming;come;develop;emerge;expand;flourishing;heighten;increase;mature;rise;spread;tidal', 'demand': 'clamor;cry;desire;interest;market;necessity;need;proposal;quest;request;voice'}","{'factory': 'equipment;capability;capacity;machinery;technology;expansion;segment;growth', 'critical': 'crucial;key;vital;essential;geared;important;pivotal;insufficient;imperative;committed', 'meeting': 'meet;meets;handle;satisfy;met;servicing;matching', 'growing': 'capacity;growth;huge;rising;grow;burgeoning;expected;new;booming;increasing;demand;strong;higher', 'demand': 'need;market;requirement;demand;call;shortfall;potential;needs;trend;intake;request'}","{'factory': 'equipment;capability;capacity;machinery;technology;expansion;segment;growth', 'critical': 'crucial;key;vital;essential;geared;important;pivotal;insufficient;imperative;committed', 'meeting': 'meet;meet;handle;satisfy;met;servicing;matching', 'growing': 'capacity;growth;huge;rising;grow;burgeoning;expected;new;booming;increasing;demand;strong;higher', 'demand': 'need;market;requirement;demand;call;shortfall;potential;need;trend;intake;request'}"
"I need more capacity in that end of the market, he said, and this is factory is critical to meeting that growing demand.","I need more capacity in that end of the market,",and this is factory is critical to meeting that growing demand.,"{'need': 'covet;crave;desire;request;require;see;want;want demand;wish', 'more': 'added;additional;big;extra;good;great;high', 'capacity': 'ability;business;efficiency;influence;operation;output;production;reach;resource;room;share;size;space;spread;sway;volume', 'end': 'area;aspect;corner;line;location;part;piece;place;portion;section;sector;segment;share', 'market': 'arena;business;company;enterprise;industry;marketplace;operation;organization;process;sale;sector;spectrum;trade'}","{'need': 'need;needed;require;Need;want;use;needs;crave;needing', 'more': 'additional;fuller;More;less;extra;new;greater', 'capacity': 'capacity;growth;credit;capital;capacities;space;room;power;production;money;facility;product;stock;supply;fuel;Cap', 'end': 'end;ends;part;End;back;tail;segment;ass;half;line;aspect;ending;mid', 'market': 'markets;marketplace;market;spectrum;day;industry;business;year;world;game;contract;sky;window'}","{'need': 'need;needed;require;need;want;use;need;crave;needing', 'more': 'additional;fuller;more;le;extra;new;greater', 'capacity': 'capacity;growth;credit;capital;capacity;space;room;power;production;money;facility;product;stock;supply;fuel;cap', 'end': 'end;end;part;end;back;tail;segment;as;half;line;aspect;ending;mid', 'market': 'market;marketplace;market;spectrum;day;industry;business;year;world;game;contract;sky;window'}"
I refuse to sell it.,I refuse to sell it.,"Chilean seabass, also known as Patagonian toothfish, came into vogue in the 1990s in U.S. restaurants and fish markets.","{'refuse': 'decline;disallow;forbid;forgo;prohibit;refrain;shun;spurn;withhold', 'sell': 'barter;distribute;hawk;market;offer;peddle;push;retail;trade'}","{'refuse': 'refused;decline;refusing;refusal;refuses;Won;offer;Not;want', 'sell': 'sale;sold;selling;pawn;market;trade;show;tell;sells'}","{'refuse': 'refused;decline;refusing;refusal;refuse;won;offer;not;want', 'sell': 'sale;sold;selling;pawn;market;trade;show;tell;sell'}"
I refuse to sell it.,"Chilean seabass, also known as Patagonian toothfish, came into vogue in the 1990s in U.S. restaurants and fish markets.","With rising demand for the firm, oil-rich fish came pirate fishing fleets eager to cash in on its popularity -- even if it meant skirting catch limits and environmental regulations.","{'Chilean': 'south American', 'seabass': 'bass;saltwater fish;specie', 'also': 'additionally;and;further;furthermore;in addition;likewise', 'known': 'call;label;name;recognize;see', 'toothfish': 'sea bass', 'came': 'enter;fall;go;happen;start', 'vogue': 'fashion;popularity;style;trendiness', 'restaurants': 'bistro;cafe;cafeteria;diner;dinner;eat establishment;eatery;establishment;luncheonette;shop;trattoria', 'fish': 'seafood', 'markets': 'grocer;marketplace;retailer;seller;shop;store'}","{'Chilean': 'Chile', 'seabass': 'se;te;Se', 'also': 'better;also;otherwise;best;commonly;officially', 'known': 'known;know;described;spelled;called', 'toothfish': 'tooth', 'came': 'started;come;sprang;burst;got', 'vogue': 'v;inv;V;gal', 'restaurants': 'restaurant;seafood;meat;wine;tuna;parks;streams;sushi;shops;supermarkets;chips', 'fish': 'seafood', 'markets': 'markets;shops;stores;bars;restaurants;traders'}","{'Chilean': 'chile', 'seabass': 'se;te;se', 'also': 'better;also;otherwise;best;commonly;officially', 'known': 'known;know;described;spelled;called', 'toothfish': 'tooth', 'came': 'started;come;sprang;burst;got', 'vogue': 'v;inv;v;gal', 'restaurants': 'restaurant;seafood;meat;wine;tuna;park;stream;sushi;shop;supermarket;chip', 'fish': 'seafood', 'markets': 'market;shop;store;bar;restaurant;trader'}"
"I said, `No.","A noncommittal mmm-mm, was the most Karnes could ever get out of Tibbets on matters of the bomb.","mmm-mm,","{'noncommittal': 'ambiguous;casual;indecisive;undecisive;unsure;vague', 'mmm-mm': 'aha;grunt', 'most': 'all;furthest;good;great;maximum', 'ever': 'at any time;barely;even;possibly;ultimately', 'get': 'acquire;draw;hear;make;receive;squeeze', 'matters': 'decision;detail;info;question;subject;thing;topic', 'bomb': 'attack;explosive;incendiary device;missile;torpedo;weapon'}","{'noncommittal': 'non;Non;un;ex;pro;de', 'mmm-mm': 'm;p', 'most': 'best;closest;greatest;worst;biggest', 'ever': 'could;possibly;always;able;really', 'get': 'got;make;git;come;learn;talk', 'matters': 'matter;charges;terms;account;rest;topics;one', 'bomb': '.;ear;war;arts;anatomy;Law'}","{'noncommittal': 'non;non;un;ex;pro;de', 'mmm-mm': 'm;p', 'most': 'best;closest;greatest;worst;biggest', 'ever': 'could;possibly;always;able;really', 'get': 'got;make;git;come;learn;talk', 'matters': 'matter;charge;term;account;rest;topic;one', 'bomb': '.;ear;war;art;anatomy;law'}"
I should go in first.,To prepare her.,To prepare her.,{'prepare': 'adapt;alert;brace;equip;inform;perfect;prep;prime;ready;strengthen;warn'},{'prepare': 'prep;prepared;ready;teach;get;preparing;guide;tell;warn;protect;read'},{'prepare': 'prep;prepared;ready;teach;get;preparing;guide;tell;warn;protect;read'}
I suppose I sound like Im bragging when I talk of the things Im tired of.,Only because you are.,Only because you are.,{'Only': 'exactly;just;merely;precisely;simply;solely;well'},{'Only': 'except;Alone;Especially;Just;Except;Maybe;But'},{'Only': 'except;alone;especially;just;except;maybe;but'}
I suspect (the departure) will be fairly irrelevant for the company.,I would be very surprised if his departure signals any change in strategy or change in profit expectations.,I would be very surprised if his departure signals any change in strategy or change in profit expectations.,"{'very': 'extremely;highly;intensely;quite;rather;really;too', 'surprised': 'alarm;amaze;astonish;astound;bewilder;dumfound;flabbergast;shock;stun;take aback', 'departure': 'exit;leave;parting;resign;resignation;take off', 'signals': 'cause;indicate;make;mean;point to;show;spark;suggest', 'change': 'alteration;deviance;deviation;difference;modification;revision;variance', 'strategy': 'action;approach;course;methodology;plan;planning;policy;procedure', 'profit': 'earning;gain;income;revenue', 'expectations': 'anticipation;assumption;calculation;dream;forecast;hope;prediction;projection'}","{'very': 'quite;pretty;fairly;highly;rather;extremely;somewhat', 'surprised': 'surprise;interested;concerned;disappointed;curious;worried;doubtful;happy;suspicious;amazed', 'departure': 'release;),;exit;);change;resignation', 'signals': 'signaled;signal;means;represents;introduces;causes;presents;triggers', 'change': 'shift;changes;difference;changed;reversal;revolution;drop', 'strategy': 'strategies;direction;philosophy;policy;strategic;management;leadership;behavior', 'profit': 'financial;earnings;management;revenue', 'expectations': 'expectation;outlook;.;growth;forecasts;forecast;priorities;prospects'}","{'very': 'quite;pretty;fairly;highly;rather;extremely;somewhat', 'surprised': 'surprise;interested;concerned;disappointed;curious;worried;doubtful;happy;suspicious;amazed', 'departure': 'release;),;exit;);change;resignation', 'signals': 'signaled;signal;mean;represents;introduces;cause;present;trigger', 'change': 'shift;change;difference;changed;reversal;revolution;drop', 'strategy': 'strategy;direction;philosophy;policy;strategic;management;leadership;behavior', 'profit': 'financial;earnings;management;revenue', 'expectations': 'expectation;outlook;.;growth;forecast;forecast;priority;prospect'}"
I think his face is his form of vanity.,Its the reverse of you with those ridiculous stomach muscles.,Its the reverse of you with those ridiculous stomach muscles.,"{'reverse': 'alternative;backwards version;contradiction;inverse;opposite;opposite version;other;reversal;reversement', 'ridiculous': 'absurd;comical;dumb;fantastic;funny;laughable;obnoxious;outrageous;over the top;preposterous;repulsive;silly;stupid;unbelievable', 'stomach': 'ab;abdomen;abdominal;abdominal region;belly;front;gut;tummy;washboard', 'muscles': 'brawn;fiber;ridge;ripple;strength;tendon;tissue;tone;washboard'}","{'reverse': 'opposite;inverse;face;pair;half;equivalent;version;side;osite', 'ridiculous': 'stupid;adorable;hideous;weird;damned;cheesy;massive;goofy;huge;fucking;cute;giant;sexy;famous', 'stomach': 'chest;arm;heart;nose;facial;calf;eye;neck;cap', 'muscles': 'eyes;pics;ies;ers;:;!;..;.;...'}","{'reverse': 'opposite;inverse;face;pair;half;equivalent;version;side;osite', 'ridiculous': 'stupid;adorable;hideous;weird;damned;cheesy;massive;goofy;huge;fucking;cute;giant;sexy;famous', 'stomach': 'chest;arm;heart;nose;facial;calf;eye;neck;cap', 'muscles': 'eye;pic;y;er;:;!;..;.;...'}"
"I think this situation vindicates the argument that weve made all along,",Shes a scapegoat and a target of a corrupt system and was unfairly singled out.,Shes a scapegoat and a target of a corrupt system and was unfairly singled out.,"{'scapegoat': 'blame party;decoy;distraction;diversion;fall guy;minion;patsy;pawn;prey;sacrifice;sacrificial lamb;stooge;victim', 'target': 'aim;bullseye;decoy;direction;factor;fallguy;focus;intention;object;objective;point;prey;sacrifice;scapegoat;targeted person;victim', 'corrupt': 'bad;break;corrupt;crime;criminal;crooked;debauch;depraved;dishonest;flawed;fraudulent;infiltrate;mislead;perverted;rotten;shady;treacherous;unethical;unscrupulous', 'system': 'arrangement;atmosphere;corporation;dynamic;entity;establishment;government;infrastructure;method;network;organization;pattern;plan;scheme', 'unfairly': 'dishonestly;grossly;immorally;inconsiderately;rudely;unduly;unfortunately;unjustifiably;unjustly;unreasonably;wrongly', 'singled': 'example;finger;name;pick;pinpoint;point;pull;sample;separate;string'}","{'scapegoat': 'scapego;bureaucr;apego;che;babys;democr;sho;gn;br;cheating;Diplom;gh;ple', 'target': 'victim;member;prey;part;servant;leader;survivor;champion;beneficiary;defender;product;follower;subject;puppet;pawn;relic', 'corrupt': 'corrupted;broken;rigged;flawed;crooked;corruption;predatory;skewed;criminal;biased;systemic;murky;racist;rotten;transparent;failing;fraudulent;dubious;democratic', 'system': 'scheme;state;network;agency;class;government;DNC;r;M;ed;law;system;By;For', 'unfairly': 'wrongly;systematically;arbitrarily;selectively;rightly;duly;unlawfully;harshly;thus;brutally;specifically', 'singled': 'picked;called;ruled;missed;stood;counted;thrown;left;squeezed;cut'}","{'scapegoat': 'scapego;bureaucr;apego;che;baby;democr;sho;gn;br;cheating;diplom;gh;ple', 'target': 'victim;member;prey;part;servant;leader;survivor;champion;beneficiary;defender;product;follower;subject;puppet;pawn;relic', 'corrupt': 'corrupted;broken;rigged;flawed;crooked;corruption;predatory;skewed;criminal;biased;systemic;murky;racist;rotten;transparent;failing;fraudulent;dubious;democratic', 'system': 'scheme;state;network;agency;class;government;dnc;r;m;ed;law;system;by;for', 'unfairly': 'wrongly;systematically;arbitrarily;selectively;rightly;duly;unlawfully;harshly;thus;brutally;specifically', 'singled': 'picked;called;ruled;missed;stood;counted;thrown;left;squeezed;cut'}"
"I understand baseball moves, Ive been through this before,",Obviously Im disappointed to go from a team playing for first place to a team that isnt contending.,Obviously Im disappointed to go from a team playing for first place to a team that isnt contending.,"{'Obviously': 'apparently;assuredly;blatantly;certainly;clearly;definitely;of course;plainly;sure;undoubtably;unmistakably;unquestionably', 'disappointed': 'chagrin;displease;down;frustrate;sad;sadden;sorry;unhappy;upset', 'go': 'change;digress;journey;leave;move;part;shift;switch;trade;transfer;transition', 'team': 'club;franchise;group;one;sport team;squad;unit', 'playing': 'compete;contend;play;try;vie', 'first': 'champion;frontrunner;lead;preeminent;premier;start;top;unmatched', 'place': 'award;championship;contention;honor;position;prise;slot;spot', 'contending': 'as good;compete;competitive;do well;forecast;hopeful;play;try;win'}","{'Obviously': ',;But;Still;Now;but;Im;however;and;.;I;In;For', 'disappointed': 'hard;sad;frustrated;disappointing;unhappy;shocked;happy;disappointment;devastated', 'go': 'move;see;going;look;go;jump;went;pass;grow;morph;change', 'team': 'teams;group;Team;squad;club;side;Pack', 'playing': 'fighting;play;tying;competing;battling', 'first': 'fourth;third;rd;th;First;st;Fifth;akes', 'place': 'place;places;position;spot;rank;thing;money;prize', 'contending': 'cont;pret;Def;asc;transc;comp;unbeat;Cont;exp'}","{'Obviously': ',;but;still;now;but;im;however;and;.;i;in;for', 'disappointed': 'hard;sad;frustrated;disappointing;unhappy;shocked;happy;disappointment;devastated', 'go': 'move;see;going;look;go;jump;went;pas;grow;morph;change', 'team': 'team;group;team;squad;club;side;pack', 'playing': 'fighting;play;tying;competing;battling', 'first': 'fourth;third;rd;th;first;st;fifth;akes', 'place': 'place;place;position;spot;rank;thing;money;prize', 'contending': 'cont;pret;def;asc;transc;comp;unbeat;cont;exp'}"
"I understand baseball moves, Ive been through this before, said Fabregas, who is headed for his eighth major-league team.","I understand baseball moves, Ive been through this before,",Obviously Im disappointed to go from a team playing for first place to a team that isnt contending.,"{'understand': 'acknowledge;comprehend;conceive;get;have familiarity with;know;recognize;see', 'baseball': 'baseball sport;business;executive;franchise;game;management;softball;sport;trade', 'moves': 'action;affair;business;deal;decision;maneuver;method;modification;play;strategic move;strategy;swap;switch;tactic;trade;transition', 'before': 'a while back;already;early;formerly;in the past;previously;prior;recently'}","{'understand': 'understood;understands;k;explain;see;rible;love;get', 'baseball': 'MLB;pitching;ball;throwing;b;sports;pitcher', 'moves': 'move;trade;throws;movements;movement;changes;skills;teams;feels;motion;trades;stuff;tactics;games;jumps;pitches', 'before': 'Before;without;already;thing;I;By;After;,'}","{'understand': 'understood;understands;k;explain;see;rible;love;get', 'baseball': 'mlb;pitching;ball;throwing;b;sport;pitcher', 'moves': 'move;trade;throw;movement;movement;change;skill;team;feel;motion;trade;stuff;tactic;game;jump;pitch', 'before': 'before;without;already;thing;i;by;after;,'}"
I was stopped in San Francisco one time by a Japanese tour bus.,I swear.,I swear.,{'swear': 'affirm;avow;confess;declare;guarantee;insist;pledge;promise'},{'swear': 'promise;think;ronic;cons;guarantee;believe;mean;trust'},{'swear': 'promise;think;ronic;con;guarantee;believe;mean;trust'}
I will.,"She said, I feel sorry for you, Nardo.","I feel sorry for you, Nardo.","{'said': 'anounce;cry;exclaim;grieve;intone;mumble;mutter;note;reply;sigh;speak;stammer;state;voice;whisper', 'feel': 'be;encounter;experience', 'sorry': 'bad;regret;remorse;sad;sorrow;sorrowful'}","{'said': 'f;er;ar;p;pherd;lly;lla;ath;esh;Maria;aa;ldon;ena;ahan;mar', 'feel': 'felt;feels;said', 'sorry': 'Was;Had;Sat;...;,;I'}","{'said': 'f;er;ar;p;pherd;lly;lla;ath;esh;maria;aa;ldon;ena;ahan;mar', 'feel': 'felt;feel;said', 'sorry': 'wa;had;sat;...;,;i'}"
I would not have thought it possible.,She frowned.,It is rather ugly.,{'frowned': 'gawk;glare;glower;grimace;sadden;scowl;sneer;turn'},{'frowned': 'sighed;frown;sigh;shrugged;smiled;nodded;looked;stumbled'},{'frowned': 'sighed;frown;sigh;shrugged;smiled;nodded;looked;stumbled'}
Ill take it.,Exactly as it is.,Exactly as it is.,{'Exactly': 'absolutely;completely;entirely;just;precisely;right;similarly;totally;unchanged;wholly'},{'Exactly': 'exactly;precisely;Good;Just;Same;Known;Perfect;Such;sofar;insofar'},{'Exactly': 'exactly;precisely;good;just;same;known;perfect;such;sofar;insofar'}
Im glad you came after dark.,"Tasha, by accident or design, had found an innocently erotic posture on the couch, where she lay with a book of Mduvian prints.",Emil!,"{'accident': 'carelessness;chance;coincidence;error;fault;fortune;happenstance;inadvertent action;luck;mistake;undeliberate action', 'design': 'craft;formation;intent;intention;intentionally;plan;plot;purpose;purposely;scheme', 'found': 'accept;arouse;arrive at;choose;discover;expose;happen upon;land;learn of;pick;settle in;sit in;strike;take', 'innocently': 'accidental;accidentally;chastely;childlike;exemplary;immaculate;innocent;innocuously;inoffensively;naively;purely;simply;unintentionally;unoffending;unsordid;youthful', 'erotic': 'entice;excitable;passionate;romantic;rousing;seductive;sensual;sexual;sexy;suggestive', 'posture': 'behavior;image;manner;picture;pose;position;poster;print;seat;tableau', 'couch': 'bed;chaise;davenport;divan;lounge;seat;settee;sofa', 'lay': 'be;lay;lounge;occupy;recline;relax;rest;settle;sit;sprawl;stretch;stretch out', 'book': 'collection;copy;folio;monograph;publication;publish work;text;tome;volume', 'prints': 'art;composition;design;drawing;etching;illustration;image;painting;picture;publication;representation;sketch;work'}","{'accident': 'coincidence;chance;name;choice;circumstance;fate;mistake;fashion;Grace;custom;design', 'design': 'choice;wont;mistake;accident;brilliance;reason;omission;otherwise;nature;chance', 'found': 'discovered;made;found;sought;arranged;finding;ied;find;located;taken;fashioned;scored;finds;lodged', 'innocently': 'innoc;eleg;innocent;intermitt;intellig;extravag;ard;im;inconsist;inc;rom;ignor;impress;apt;ori;unusually', 'erotic': 'romantic;sexual;peaceful;cozy;intimate;occupied;passionate;happy;poetic;feminine', 'posture': 'position;pose;spot;niche;place;seat;scene;expression;lover;chair', 'couch': 'sofa;cushion;floor;bench;chair;pillow;bed;desk', 'lay': 'sat;laid;sleep;sit;hid;read;rests;lied;slept;sits;lays;lie', 'book': 'pair;number;bottle;pal;cup;volume;couple;set;library', 'prints': 'books;Bath;cards;paper;us;Mag;ser;Ver;Cl;og;types;ian;z'}","{'accident': 'coincidence;chance;name;choice;circumstance;fate;mistake;fashion;grace;custom;design', 'design': 'choice;wont;mistake;accident;brilliance;reason;omission;otherwise;nature;chance', 'found': 'discovered;made;found;sought;arranged;finding;ied;find;located;taken;fashioned;scored;find;lodged', 'innocently': 'innoc;eleg;innocent;intermitt;intellig;extravag;ard;im;inconsist;inc;rom;ignor;impress;apt;ori;unusually', 'erotic': 'romantic;sexual;peaceful;cozy;intimate;occupied;passionate;happy;poetic;feminine', 'posture': 'position;pose;spot;niche;place;seat;scene;expression;lover;chair', 'couch': 'sofa;cushion;floor;bench;chair;pillow;bed;desk', 'lay': 'sat;laid;sleep;sit;hid;read;rest;lied;slept;sits;lay;lie', 'book': 'pair;number;bottle;pal;cup;volume;couple;set;library', 'prints': 'book;bath;card;paper;u;mag;ser;ver;cl;og;type;ian;z'}"
Im glad.,A moment later: Thats not why I called him Emil.,Thats not why I called him Emil.,"{'moment': 'blink;breath;few second;instant;minute;second;split second', 'later': 'after;afterward;afterwards;follow;next;succeed;thereafter', 'called': 'dub;label;name;refer;reference;term'}","{'moment': 'moments;year;century;minute;instant;little;word', 'later': 'ago;later;:;.;earlier;younger;older', 'called': 'named;call;ck;nicknamed;renamed;calls'}","{'moment': 'moment;year;century;minute;instant;little;word', 'later': 'ago;later;:;.;earlier;younger;older', 'called': 'named;call;ck;nicknamed;renamed;call'}"
"Im planning to win every game we play,",Just another wild and crazy guy.,"Date with destiny: After Vanderbilt opens with Georgia Tech, the Commodores will play host to Furman, which is Johnsons former team and a Division I-AA powerhouse.","{'Just': 'literally;merely;obviously;only;precisely;simply;undeniably;yet', 'wild': 'adventurous;fierce;impassioned;insane;intense;peculiar;restless;rowdy;turbulent;uninhibited', 'crazy': 'eager;insane;irrational;looney;nutty;outrageous;silly;uninhibited;zealous', 'guy': 'athlete;fellow;individual;male;man;person;player'}","{'Just': 'Still;But;As;Like;yet;Yet;And;With', 'wild': 'crazy;weird;Wild;drunk;game;w;reckless;mad;kind;one', 'crazy': 'crazy;insane;white;drunk;wild;mad;ambitious;optimistic;paranoid', 'guy': 'dude;guys;Vanderbilt;game;thing;man;streak'}","{'Just': 'still;but;a;like;yet;yet;and;with', 'wild': 'crazy;weird;wild;drunk;game;w;reckless;mad;kind;one', 'crazy': 'crazy;insane;white;drunk;wild;mad;ambitious;optimistic;paranoid', 'guy': 'dude;guy;vanderbilt;game;thing;man;streak'}"
"Im planning to win every game we play, he said.","Im planning to win every game we play,",Just another wild and crazy guy.,"{'planning': 'able;desire;devise;expect;hope;intend;prepare;project;scheme;try;want', 'win': 'ace;advance;be victorious;champion;conquer;master;succeed at;take;triumph;victory', 'game': 'battle;competition;contest;event;match;tournament', 'play': 'battle;be in;compete;compete in;do;engage in;go to;have;rival;take on'}","{'planning': 'plan;going;gonna;posting;hoping;ing;trying;ailing;intending;I;aiming', 'win': 'wins;play;win;winning;victory;winner;fight;beat;say;forget', 'game': 'game;match;games;round;time;Game', 'play': 'play;played;game;want;Play;win;lose;think;expect;bet'}","{'planning': 'plan;going;gonna;posting;hoping;ing;trying;ailing;intending;i;aiming', 'win': 'win;play;win;winning;victory;winner;fight;beat;say;forget', 'game': 'game;match;game;round;time;game', 'play': 'play;played;game;want;play;win;lose;think;expect;bet'}"
"Im sorry things happened this way, Bernardo.",I didnt anticipate last night --,I didnt anticipate last night --,"{'anticipate': 'believe;count on;envision;expect;figure;foresee;foretell;plan;portend;predict;remember;think', 'last': 'former;past;preceding;previous;prior;that;the;the other;then', 'night': 'dark;eve;evening;nocturnal;time;twilight'}","{'anticipate': 'expect;remember;sleep;recall;wake;forget;dream;drink;say;post;know;win', 'last': 'last;next;another;yesterday;every;till;one;Last;late', 'night': 'year;night;midnight;bottle;tonight;weekend'}","{'anticipate': 'expect;remember;sleep;recall;wake;forget;dream;drink;say;post;know;win', 'last': 'last;next;another;yesterday;every;till;one;last;late', 'night': 'year;night;midnight;bottle;tonight;weekend'}"
"Im sorry, too.",I suppose I sound like Im bragging when I talk of the things Im tired of.,I suppose I sound like Im bragging when I talk of the things Im tired of.,"{'suppose': 'assume;conjecture;guess;imagine;presume;reckon;see;surmise;suspect;think;wonder', 'sound': 'appear;babble;chatter;come off;look;ramble;seem', 'bragging': 'arrogant;boast;boastful;gloat;inflate', 'talk': 'babble;complain;gab;mention;monologue;proclaim;speak;spiel;tell;tell you;yak', 'things': 'affair;circumstance;event;item;matter;object;proceeding;situation;storey;stuff', 'tired': 'bore;disgust;displease;exhaust;fatigue;sick;weary'}","{'suppose': 'reckon;think;guess;presume;bet;feel;realise;mean;know;gather;realize', 'sound': 'look;sounds;feel;taste;sounded;make;seem', 'bragging': 'uncle;sorry;mother;father;mit', 'talk': 'speak;tell;think;talked;remind;hear;complain;make;sing;drink;say', 'things': 'thing;ways;things;stuff;words;kind;manners;world;days;wonders', 'tired': 'fond;think;heard;proud;sorry;speak;hear'}","{'suppose': 'reckon;think;guess;presume;bet;feel;realise;mean;know;gather;realize', 'sound': 'look;sound;feel;taste;sounded;make;seem', 'bragging': 'uncle;sorry;mother;father;mit', 'talk': 'speak;tell;think;talked;remind;hear;complain;make;sing;drink;say', 'things': 'thing;way;thing;stuff;word;kind;manner;world;day;wonder', 'tired': 'fond;think;heard;proud;sorry;speak;hear'}"
Im sorry., --who took me to -- What?, --who took me to -- What?,{'took': 'accompany;bring;carry;draw;drive;escort;gather;get;invite;lead;transport'},{'took': 'takes;sent;asked;wanted;posted;led;gave;take;taken;got;put'},{'took': 'take;sent;asked;wanted;posted;led;gave;take;taken;got;put'}
"Im starting to see more business transactions,","Colleges, she says, are eyeing registration through 900 service.","Charities test the waters, but they face legal barriers to electronic fund raising.","{'Colleges': 'faculty;high learning institute;school;university', 'says': 'add;articulate;cite;comment;declare;note;remark;state;tell', 'eyeing': 'consider;look at;review;study;think of;track', 'registration': 'admission;admittance;certification;enrollment;recruitment;sign up', 'service': 'account;activity;assistance;company;facilitation;offering;service;servicing;work'}","{'Colleges': 'companies;banks;startups;institutions', 'says': 'said;writes;ar;reports;wrote;added;noted;adds;say', 'eyeing': 'considering;leveraging;seeking;seeing;embracing;using', 'registration': 'registering;registered;registrations;online;fundraising;payments', 'service': 'services;platforms;site;fundraising;trial;channels;portal;system;accounts'}","{'Colleges': 'company;bank;startup;institution', 'says': 'said;writes;ar;report;wrote;added;noted;add;say', 'eyeing': 'considering;leveraging;seeking;seeing;embracing;using', 'registration': 'registering;registered;registration;online;fundraising;payment', 'service': 'service;platform;site;fundraising;trial;channel;portal;system;account'}"
"Im starting to see more business transactions, says Andrea West of American Telephone & Telegraph Co., noting growing interest in use of 900 service for stock sales, software tutorials and even service contracts.","Im starting to see more business transactions,","Colleges, she says, are eyeing registration through 900 service.","{'starting': 'appear;begin;commence;expect;happen', 'see': 'detect;encounter;notice;observe;view;witness', 'more': 'additional;an increase of;extra;great;high;increase;large;many;new;other', 'business': 'commerce;company;consumer;corporate;financial;industry;marketing;merchant;sale;specialty', 'transactions': 'activity;commerce;contract;deal;dealing;interchange;negotiation;purchase;use'}","{'starting': 'beginning;starting;getting;start;ing', 'see': 'notice;saw;seeing;witness;get;sees', 'more': 'less;greater;better;larger;faster;bigger;increased;many;new;stronger', 'business': 'commercial;businesses;sales;trade;corporate;business;new;enterprise;transaction;legal', 'transactions': 'transaction;transfers;purchases;interactions;transact;processes;deals;payments;dealings'}","{'starting': 'beginning;starting;getting;start;ing', 'see': 'notice;saw;seeing;witness;get;see', 'more': 'le;greater;better;larger;faster;bigger;increased;many;new;stronger', 'business': 'commercial;business;sale;trade;corporate;business;new;enterprise;transaction;legal', 'transactions': 'transaction;transfer;purchase;interaction;transact;process;deal;payment;dealing'}"
Im very good at making things happen this way.,But if Tasha will forgive me --,But if Tasha will forgive me --,{'forgive': 'absolve;allow;excuse;forget;pardon;parole;permit;reprieve'},{'forgive': 'pardon;let;fuck;allow;forgiven;help;understand;leave'},{'forgive': 'pardon;let;fuck;allow;forgiven;help;understand;leave'}
"Ive done that a lot in my career,","Coming in, theyve got three great outfielders. I knew that from the get-go.","Coming in, theyve got three great outfielders. I knew that from the get-go.","{'Coming': 'break;enter;go;just;right;start', 'got': 'be bless with;have;hold;play;secure', 'great': 'all star;excellent;fantastic;good;outstanding;skilled;talented;wonderful', 'outfielders': 'athlete;fielder;guy;player', 'knew': 'be aware of;believe;grasp;learn;notice;realize;recognize;say;see;think;understand', 'get': 'first', 'go': 'jump'}","{'Coming': 'coming;come;came;Come;starting;Made', 'got': 'gotten;produced;got;get;eg', 'great': 'greatest;great;Great;greatness;major;super;perfect;good', 'outfielders': 'outfield;infield;field;clos', 'knew': 'know;known;mean;saw;knows;got;told;trust;recognized;loved;suspected', 'get': 'git', 'go': 'go'}","{'Coming': 'coming;come;came;come;starting;made', 'got': 'gotten;produced;got;get;eg', 'great': 'greatest;great;great;greatness;major;super;perfect;good', 'outfielders': 'outfield;infield;field;clos', 'knew': 'know;known;mean;saw;know;got;told;trust;recognized;loved;suspected', 'get': 'git', 'go': 'go'}"
"Ive done that a lot in my career, Ochoa said during a conference call.","Ive done that a lot in my career,","Coming in, theyve got three great outfielders. I knew that from the get-go.","{'lot': 'bunch;bunch of time;lot of time;ton;whole bunch;whole lot', 'career': 'day;experience;game;job;life;past;position;profession;role;time;vocation'}","{'lot': 'bunch;pl;lot;lots;load;ver', 'career': 'careers;game;lifetime;life;lineup;tenure;job;history;head;team;franchise'}","{'lot': 'bunch;pl;lot;lot;load;ver', 'career': 'career;game;lifetime;life;lineup;tenure;job;history;head;team;franchise'}"
