target_sentence,postcontext,substitutions,replace,replace_proc
"One of the principal concerns of the Packard Foundation is the preservation of natural resources, particularly in the oceans, and one of the greatest threats is overfishing,","""We have seen that raising consumer awareness and concern among restaurants and retailers about a particular fishery can really make a difference.""","{'principal': 'chief;dominant;lead;main;preeminent;primary', 'concerns': 'aim;burden;care;cause;enterprise;focus;goal;interest;issue;problem;responsibility;scare;worry', 'preservation': 'conservation;conservatorship;maintenance;preserve;protection;safe keeping;safeguard;safekeeping;stewardship;sustentation', 'natural': ""earth;earth 's;innate;marine;native;nature 's;original;wild"", 'resources': 'amenity;asset;good;habitat;supply', 'particularly': 'also;especially;expressly;include;markedly;notably;principally', 'oceans': 'costal water;marine environment;saltwater body;sea;water;waterway', 'greatest': 'bad;big;chief;enormous;gigantic;high;huge;large;major;monumental;most significant', 'threats': 'challenge;damage;danger;endangerment;hazard;peril;problem;risk', 'overfishing': 'excessive fishing;overharvest;too much fishing'}","{'principal': 'major;main;primary;paramount;principle;chief', 'concerns': 'considerations;duties;responsibilities;accomplishments;discussions;objectives;grievances;shortcomings;issues;conclusions;interests;tasks;desires', 'preservation': 'preserving;conservation;preserve;survival;saving;safety;protecting;safeguard;sustainability;stabilization', 'natural': 'nature;real;native;environmental;biological;ecological;naturally;local', 'resources': 'reserves;sources;values;lands;treasures', 'particularly': 'principally;notably;frequently;primarily;specifically;largely;chiefly', 'oceans': 'seas;waters;environments;ecosystems;cities;underwater', 'greatest': 'largest;significant;major;principal;maximum;considerable;chief;highest;biggest;newest;paramount', 'threats': 'risks;dangers;hazards;threatens;challenges;concerns;pressures;threatening', 'overfishing': 'fishing;poaching;fisheries'}","{'principal': 'major;main;primary;paramount;principle;chief', 'concerns': 'consideration;duty;responsibility;accomplishment;discussion;objective;grievance;shortcoming;issue;conclusion;interest;task;desire', 'preservation': 'preserving;conservation;preserve;survival;saving;safety;protecting;safeguard;sustainability;stabilization', 'natural': 'nature;real;native;environmental;biological;ecological;naturally;local', 'resources': 'reserve;source;value;land;treasure', 'particularly': 'principally;notably;frequently;primarily;specifically;largely;chiefly', 'oceans': 'sea;water;environment;ecosystem;city;underwater', 'greatest': 'largest;significant;major;principal;maximum;considerable;chief;highest;biggest;newest;paramount', 'threats': 'risk;danger;hazard;threatens;challenge;concern;pressure;threatening', 'overfishing': 'fishing;poaching;fishery'}"
She smiled.,"I had to grin, so I did.",{'smiled': 'beam;chuckle;curl;glow;grin;look happy;look pleased;simper;wink'},{'smiled': 'laughed;grinned;sighed;said;shrugged;frowned;stared;joked;waved'},{'smiled': 'laughed;grinned;sighed;said;shrugged;frowned;stared;joked;waved'}
He added: Everything is going the way you need it.,"""Everything is going the way you need it.""","{'added': 'assert;comment;continue;disclose;include;inform;mention;note;remark;reply;respond;reveal;say;state', 'Everything': 'all;all of it;event;inclusively;thing;totally', 'going': 'develop;direct;happen;head;move;occur;proceed;progress;turn;unfold', 'way': 'course;direction;manner;pace;path;place', 'need': 'demand;must have;necessitate;require;want'}","{'added': 'said;wrote;posted;deleted;read;explained;continued;replied;noted;concluded;commented;created;checked;stated', 'Everything': 'everything;Everyone;Everywhere;Every;Everyday;Everybody', 'going': 'working;moving;happening;heading;running;progressing;coming;right;proceeding;continuing', 'way': 'direction;order;place;manner;kind;like', 'need': 'want;require;use;wanted;expect'}","{'added': 'said;wrote;posted;deleted;read;explained;continued;replied;noted;concluded;commented;created;checked;stated', 'Everything': 'everything;everyone;everywhere;every;everyday;everybody', 'going': 'working;moving;happening;heading;running;progressing;coming;right;proceeding;continuing', 'way': 'direction;order;place;manner;kind;like', 'need': 'want;require;use;wanted;expect'}"
"Now that Eli has put on about 15 pounds and weighs about 220, his size is closer to Peytons.","""Peyton came to practice this spring,"" Cutcliffe said, ""and he said he felt like he was having an out-of-body experience.""","{'Now': 'apparently;as;at this moment;be;consider;see', 'put': 'add;affix;gain;pad', 'pounds': 'lbs.;troy;unit', 'weighs': 'be;gross;measure;register', 'size': 'body;breadth;build;bulk;dimension;hugeness;stature;weight', 'closer': 'comparable;equivalent;near;relative;similar'}","{'Now': 'Considering;Assuming;Being;With;given;Seeing', 'put': 'taken;got;placed;pulled', 'pounds': 'weight;percent;lbs', 'weighs': 'pounds;plays;wears;carries', 'size': 'weight;height;length;frame;time;width;build;stature', 'closer': 'nearer;tighter;quicker;better;warmer'}","{'Now': 'considering;assuming;being;with;given;seeing', 'put': 'taken;got;placed;pulled', 'pounds': 'weight;percent;lb', 'weighs': 'pound;play;wear;carry', 'size': 'weight;height;length;frame;time;width;build;stature', 'closer': 'nearer;tighter;quicker;better;warmer'}"
I think his face is his form of vanity.,"""I think his face is his form of vanity.","{'think': 'believe;feel;find;guess;suppose;surmise', 'face': 'complexion;countenance;expression;eye;gob;mouth;mug;visage', 'form': 'configuration;creation;figure;kind;location;mean;mode;model;mold;place;shape;sort;style;type;version;way', 'vanity': 'arrogance;boast;conceit;egotism;pretension;pride;smugness;worth'}","{'think': 'believe;mean;say;guess;like;put', 'face': 'mouth;life;head;smile;body;nose;look;facial', 'form': 'type;format;way;expression;kind;act;method;sort;shape;mode;style;term;condition;version;design;mod', 'vanity': 'delusion;pride;vain;ambition;fantasy;folly;beauty;passion'}","{'think': 'believe;mean;say;guess;like;put', 'face': 'mouth;life;head;smile;body;nose;look;facial', 'form': 'type;format;way;expression;kind;act;method;sort;shape;mode;style;term;condition;version;design;mod', 'vanity': 'delusion;pride;vain;ambition;fantasy;folly;beauty;passion'}"
and he said he felt like he was having an out-of-body experience.,Poster boy:,"{'said': 'add;cite;comment;declare;disclose;mention;state;suggest', 'felt': 'appear;fare;register;seem;sense;sound;think', 'body': 'flesh;self', 'experience': 'activity;episode;event;exposure;happening;instance;interlude;manifestation;moment;occurrence;phenomenon;situation;undergo'}","{'said': 'claimed;admitted;described;added;stated;meant;joked;explained', 'felt': 'feel;sounded;looked;feels;seemed;smelled;experienced', 'body': 'head;mind', 'experience': 'account;effect;encounter;incident;accident;event;issue;expression;ordeal;situation;attitude;environment'}","{'said': 'claimed;admitted;described;added;stated;meant;joked;explained', 'felt': 'feel;sounded;looked;feel;seemed;smelled;experienced', 'body': 'head;mind', 'experience': 'account;effect;encounter;incident;accident;event;issue;expression;ordeal;situation;attitude;environment'}"
"Peyton came to practice this spring,","""and he said he felt like he was having an out-of-body experience.""","{'came': 'arrive;make it;materialize;show;show up', 'practice': 'camp;train;work out;workout', 'spring': 'April;quarter;season;time;year'}","{'came': 'went;brought;started;arrived;ame', 'practice': 'camp;training;practise;school', 'spring': 'summer;fall;year;winter;April'}","{'came': 'went;brought;started;arrived;ame', 'practice': 'camp;training;practise;school', 'spring': 'summer;fall;year;winter;april'}"
Call me Emil.,Call me Emil.,{'Call': 'address;name;refer to;ring'},{'Call': 'Contact;Give;Find;Cal'},{'Call': 'contact;give;find;cal'}
"He looked me and at last said, Very well.","""Very well.""","{'looked': 'gaze;glance;peep;peer;stare;view', 'last': 'conclusively', 'said': 'announce;articulate;reply;sigh;speak;stated;utter;whisper', 'Very': 'absolutely;alright;okay;perfectly;quite;so;then', 'well': 'fine;good'}","{'looked': 'saw;stared;glanced;examined;watched;gazed', 'last': 'finally', 'said': 'replied;wrote;went;added;asked;got;told;exclaimed', 'Very': 'Quite;Pretty;Oh;How;very;Most;As', 'well': 'nicely;good'}","{'looked': 'saw;stared;glanced;examined;watched;gazed', 'last': 'finally', 'said': 'replied;wrote;went;added;asked;got;told;exclaimed', 'Very': 'quite;pretty;oh;how;very;most;a', 'well': 'nicely;good'}"
Its easy for me to turn one down.,"""It's easy for me to turn one down.""","{'easy': 'effortless;elementary;little;natural;not difficult;not hard;possible;simple;unchallenge;undaunt;unproblematic', 'turn': 'curve;put;send;toss', 'down': 'aside;away;off;out;over'}","{'easy': 'impossible;tough;simple;early;possible;easily;ok;important;obvious;interesting;harder', 'turn': 'put;keep;shut;take', 'down': 'back;around;away;fast;forward'}","{'easy': 'impossible;tough;simple;early;possible;easily;ok;important;obvious;interesting;harder', 'turn': 'put;keep;shut;take', 'down': 'back;around;away;fast;forward'}"
she suppressed the surge of annoyance that ran through her as she contemplated the psis gift of getting all the hot news first.,Harmon's face slowly animated - joy sweeping in to replace stern concentration.,"{'suppressed': 'abolish;avoid;bury;censor;check;conceal;contain;control;curb;depress;hide;hold back;hold down;hold in;ignore;internalize;overcome;push down;quell;repress;resist;restrain;silence;smother;squash;stifle;stop;subdue;swallow;withhold', 'surge': 'abundance;burst;deluge;feeling;flood;flow;gush;impulse;movement;onset;onslaught;outpouring;rise;rising;rush;spark;spike;swell;tide;wall;wave', 'annoyance': 'aggravation;anger;animosity;bother;displeasure;dissatisfaction;emotion;exasperation;frustration;indignation;irksomeness;irritation;nuisance;outrage;peevedness;perturbation;pester;vexation', 'ran': 'bustle;course;flit;flood;flow;go;hurry;jog;move;pass;permeated;quiver;race;radiate;rip;rush;scorch;shoot;speed;spread;spring;stream;surge;sweep;travel;zip', 'contemplated': 'analyze;consider;deliberate;digest;focus on;imagine;meditate;mull;mull over;muse on;observe;peruse;ponder;reflect on;regard;ruminate;speculate;speculate on;study;think;think about;think of;weigh', 'psi': 'clairvoyant;knower;precog;psionic;psychic;seer', 'gift': 'ability;advantage;allowance;aptitude;award;bestow;blessing;bonus;capacity;charity;contribution;favor;flair;genius;grant;knack;offering;package;power;present;propensity;reward;skill;strength;surprise;talent', 'getting': 'access;acquire;attain;capture;discover;extract;find;find out;gain;glean;grab;have;hear;incur;know;learn;obtain;procure;read;receive;see;snag;uncover', 'hot': 'awesome;big;blaze;break;buzzworthy;current;cut edge;exciting;exclusive;fascinating;fresh;good;headline make;imperative;important;interesting;intriguing;juicy;late;major;new;popular;recent;relevant;rousing;scandalous;scorch;sexy;sizzling;smoking;spicy;sweltering;timely;up to the minute;vital;worthy;zesty', 'news': 'announcement;article;broadcast;communication;datum;discovery;event;gossip;happening;headline;hearsay;info;information;intel;intelligence;knowledge;message;newscast;occurrence;report;scoop;storey', 'first': 'ahead;before anyone else;before her;before time;beginning;early;early than anyone;fast;foremost;immediately;in advance;incipient;initial;initially;instantly;lead;now;originally;primarily;primary;quickly;specificly'}","{'suppressed': 'ifled;ressed;withheld;silenced;ulated;amped;restrained;concealed;contained;restricted;produced;uffed;subdued;atted;pelled', 'surge': 'spike;rush;pulse;outburst;rage;wave;burst;strain;stab;spark;peak;ripple;swell;flare;gasp', 'annoyance': 'irritation;annoyed;anger;displeasure;embarrassment;indignation;frustration;excitement;amusement;discomfort;envy;boredom;resentment;delight;intrigue;disgust;annoying;outrage', 'ran': 'raced;went;tore;rolled;rushed;ripped;carried;broke;passed;flowed;burned;raged;swept;roared;moved;came', 'contemplated': 'considered;envisioned;utilized;anticipated;discussed;sought;apprehended;viewed;debated;examined;pursued;deemed;regarded;attained;grasped;permitted;encountered', 'psi': '', 'gift': 'surprise;pleasure;gesture;present;blessing;task;bounty;reward;prize;secret;opportunity;bonus;mercy;talent;grace;generosity;tradition', 'getting': 'receiving;obtaining;reading;buying;grabbing;gaining;winning;acquiring;giving;wanting;seeing;securing;generating', 'hot': 'bad;cool;warm;hip;heat;good;sexy;new;top;hard;best;great', 'news': 'stuff;press;food;info;new;story;data;journalism;front;gossip;love;information;back;talk;mail;facts', 'first': 'next;quickly;early;later;already;soon;fast;initially'}","{'suppressed': 'ifled;ressed;withheld;silenced;ulated;amped;restrained;concealed;contained;restricted;produced;uffed;subdued;atted;pelled', 'surge': 'spike;rush;pulse;outburst;rage;wave;burst;strain;stab;spark;peak;ripple;swell;flare;gasp', 'annoyance': 'irritation;annoyed;anger;displeasure;embarrassment;indignation;frustration;excitement;amusement;discomfort;envy;boredom;resentment;delight;intrigue;disgust;annoying;outrage', 'ran': 'raced;went;tore;rolled;rushed;ripped;carried;broke;passed;flowed;burned;raged;swept;roared;moved;came', 'contemplated': 'considered;envisioned;utilized;anticipated;discussed;sought;apprehended;viewed;debated;examined;pursued;deemed;regarded;attained;grasped;permitted;encountered', 'psi': '', 'gift': 'surprise;pleasure;gesture;present;blessing;task;bounty;reward;prize;secret;opportunity;bonus;mercy;talent;grace;generosity;tradition', 'getting': 'receiving;obtaining;reading;buying;grabbing;gaining;winning;acquiring;giving;wanting;seeing;securing;generating', 'hot': 'bad;cool;warm;hip;heat;good;sexy;new;top;hard;best;great', 'news': 'stuff;press;food;info;new;story;data;journalism;front;gossip;love;information;back;talk;mail;fact', 'first': 'next;quickly;early;later;already;soon;fast;initially'}"
Please.,"""Please.",{'Please': 'all right;certainly;do;okay;pardon;submit;yes;yield'},{'Please': 'The;.;If;From;Now;Yes;Finally;comment'},{'Please': 'the;.;if;from;now;yes;finally;comment'}
What would it hurt?,"""What would it hurt?""",{'hurt': 'agitate;bother;damage;destroy;disrupt;do;harm;injure;matter;offend;ruin;upset;wound'},{'hurt': 'mean;help;say;cost;break;fix;kill;change;cause;accomplish;heal;solve;like'},{'hurt': 'mean;help;say;cost;break;fix;kill;change;cause;accomplish;heal;solve;like'}
Earlier this morning --,"Earlier this morning --""","{'Earlier': 'already;before;early;first thing;previously', 'morning': 'be;dawn;day;dew;morn;sunrise;today'}","{'Earlier': 'Published;Early;About;New;From', 'morning': 'evening;afternoon;day;night;breakfast;year;midnight'}","{'Earlier': 'published;early;about;new;from', 'morning': 'evening;afternoon;day;night;breakfast;year;midnight'}"
Do come in.,"Do come in.""",{'come': 'advance;enter;mosey;pop;step;stroll;walk'},{'come': 'bring;stay;arrive;believe;pop;put;eat'},{'come': 'bring;stay;arrive;believe;pop;put;eat'}
"Tokhtakhounov, whose age was given by Comey as 53 or 62, is a major figure in international Eurasian organized crime, Comey said.","""major figure in international Eurasian organized crime,""","{'age': 'chronological age;oldness;senior;year;year old', 'given': 'contribute;describe;furnish;mention;name;offer;provide;report;reveal;specify;state;suggest;supply;tell', 'major': 'big;central;dominant;giant;huge;important;key;large;lead;main;massive;powerful;preeminent;primary;principal;prominent;serious;significant;uppermost', 'figure': 'authority;being;bigwig;character;criminal;entity;individual;leader;man;member of;participant;person;personality;player;presence', 'international': 'broad;continental;establish;foreign;global;intercontinental;multinational;reach;transnational;world wide;worldwide', 'organized': 'arrange;collective;corporate;enterprise;established;gang;institutionalize;mafia;methodical;mob;network;order;organizational;prearrange;structured;syndicated;systematic;white collar', 'crime': 'activity;affair;corruption;criminal activity;delinquency;felony;illicit activity;lawbreaking;lawlessness;malfeasance;malice;mayhem;mischief;misconduct;offense;racketeering;transgression;wrongdoing', 'said': 'add;affirm;allege;announce;assert;assure;cite;comment;declare;ensure;note;proclaim;quote;remark;reveal;state;tell;utter'}","{'age': 'size;name;year;look;number', 'given': 'said;provided;described;put;cited;specified;shown;attributed;listed;told;stated;reported;taken;presented', 'major': 'significant;key;large;main;principal;prominent;massive;critical;dominant;substantial;central;notable;mid;big;regional', 'figure': 'character;factor;role;statistic;player;profile;member;actor;person;number;leader;official;source;point;man', 'international': 'global;internationally;domestic;independent;multinational;western;foreign;worldwide;eastern;European;world', 'organized': 'organised;ized;structured;controlled;arranged;coordinated;organizational;apprehended;committed;armed;increased;accelerated;directed;incorporated;violent;industrial;planned', 'crime': 'criminal;robbery;gang;fraud;terrorism;murder;terror;theft;law;violence;criminality;gaming;security;life;threat', 'said': 'added;alleged;claimed;explained;stated;called;told;described;recalled;noted;emphasized;suggested;admitted;warned'}","{'age': 'size;name;year;look;number', 'given': 'said;provided;described;put;cited;specified;shown;attributed;listed;told;stated;reported;taken;presented', 'major': 'significant;key;large;main;principal;prominent;massive;critical;dominant;substantial;central;notable;mid;big;regional', 'figure': 'character;factor;role;statistic;player;profile;member;actor;person;number;leader;official;source;point;man', 'international': 'global;internationally;domestic;independent;multinational;western;foreign;worldwide;eastern;european;world', 'organized': 'organised;ized;structured;controlled;arranged;coordinated;organizational;apprehended;committed;armed;increased;accelerated;directed;incorporated;violent;industrial;planned', 'crime': 'criminal;robbery;gang;fraud;terrorism;murder;terror;theft;law;violence;criminality;gaming;security;life;threat', 'said': 'added;alleged;claimed;explained;stated;called;told;described;recalled;noted;emphasized;suggested;admitted;warned'}"
Then I give up.,"""Then I give up.""","{'Then': 'alas;and so;finally;hence;in that case;so;subsequently;therefore;thereupon;thus;well', 'give': 'let;resign', 'up': 'in;over;to'}","{'Then': 'Sometimes;Finally;Eventually;Do;So;If;Once;Why', 'give': 'throw;end', 'up': 'away;back'}","{'Then': 'sometimes;finally;eventually;do;so;if;once;why', 'give': 'throw;end', 'up': 'away;back'}"
"When an unsuspecting Tibbets descended from the Enola Gay on Tinian, he barely managed to palm his pipe as Gen. Carl Spaatz, commander of the Strategic Air Forces, stepped forward to pin the medal on his bomb flight coveralls.","Karnes, like the hundreds of others gathered along the flight line, was jubilant.","{'unsuspecting': 'innocent;naive;oblivious;unaware;undetect;unknowing;unpredict;unprepared;unsuspicious;unwarned', 'descended': 'alight;come;come down;disembark;drop;fly;land;touch down', 'barely': 'hardly;just;just barely;only;scarcely', 'managed': 'be able;contrive;feign;get;handle;have time;succeed', 'palm': 'cover;enfold;grab;grasp;hand;handle;hide;hold;put away;tuck', 'pipe': 'cigarette;smoker;smoking instrument;smoking pipe;tobacco pipe', 'commander': 'chief;director;general;have;head;leader;pilot', 'stepped': 'amble;come;move;pace;proceed;stride;walk', 'forward': 'ahead;frontward;onward;towards him;up', 'pin': 'attach;fasten;place;put;secure;tack', 'medal': 'award;emblem;insignia;token', 'bomb': 'attack;bomber;explosive;nuke;weapon', 'flight': 'aviator;crew;fly;fly mission;flyer;mission', 'coveralls': 'attire;garment;jumpsuit;outfit;overall;suit;uniform;wear'}","{'unsuspecting': 'unwitting;unaware;oblivious;innocent;unwilling;unarmed;unprepared;unfortunate;outraged;unconscious', 'descended': 'lowered;ascended;plummeted;emerged;departed;plunged;crashed;descent', 'barely': 'scarcely;hardly;narrowly;almost;rarely', 'managed': 'succeeded;registered;attempted;reached;appeared;escaped;remembered', 'palm': 'fist;flick;thumb;grip;smack;pocket;unfold;rap;slap;cradle', 'pipe': 'cigarette;cigar;hand;gun;revolver', 'commander': 'leader;chief;manager;command;head;coordinator;holder', 'stepped': 'walked;came;reached;rushed;stood;moved;crept', 'forward': 'forth;ahead;across;closer;outward', 'pin': 'put;bolt;post;slap;fix;wear', 'medal': 'pin;star;award;ribbon', 'bomb': 'bomber;weapon;explosive;belt;plane', 'flight': 'wing;flying;plane;fly;pilot;air', 'coveralls': 'covers;cover;goggles;helmets;coats;uniforms;jackets;masks'}","{'unsuspecting': 'unwitting;unaware;oblivious;innocent;unwilling;unarmed;unprepared;unfortunate;outraged;unconscious', 'descended': 'lowered;ascended;plummeted;emerged;departed;plunged;crashed;descent', 'barely': 'scarcely;hardly;narrowly;almost;rarely', 'managed': 'succeeded;registered;attempted;reached;appeared;escaped;remembered', 'palm': 'fist;flick;thumb;grip;smack;pocket;unfold;rap;slap;cradle', 'pipe': 'cigarette;cigar;hand;gun;revolver', 'commander': 'leader;chief;manager;command;head;coordinator;holder', 'stepped': 'walked;came;reached;rushed;stood;moved;crept', 'forward': 'forth;ahead;across;closer;outward', 'pin': 'put;bolt;post;slap;fix;wear', 'medal': 'pin;star;award;ribbon', 'bomb': 'bomber;weapon;explosive;belt;plane', 'flight': 'wing;flying;plane;fly;pilot;air', 'coveralls': 'cover;cover;goggles;helmet;coat;uniform;jacket;mask'}"
 --on time.,""" --on time.",{'time': 'point;schedule;spot;track'},{'time': 'schedule;location;tim;date'},{'time': 'schedule;location;tim;date'}
"Thriving with life, large and small forms, no buildings of any kind, hydrocarbons, metals, and a stable atmosphere.",He's not even bringing them back through for a face to face briefing.,"{'Thriving': 'abound;abundant;bloom;blossom;booming;bubble;bud;burgeon;bustle;buzz;fill;flourish;full;full of;glow;grow;move;overflow;pack;plentiful;progress;proliferate;prosper;radiate;succeed;surge;swarm;team;teem', 'life': 'activity;animation;being;breath;creation;creature;death;energy;essence;excitement;existence;flora and fauna;growth;heart;lifeform;live thing;livelihood;liveliness;living;molecule;organism;soul;specimen;verve;viability;vigor;vim;vitality;vivacity;worry', 'large': 'ample;big;bulky;colossal;enormous;gargantuan;giant;gigantic;grand;grandiose;great;huge;immense;large;massive;sizable;stout;vast', 'small': 'bitty;diminutive;immature;inadequate;little;meager;microscopic;mini;miniature;miniscule;minuet;minute;paltry;petite;puny;slight;small sized;teeny;tiny;trifling;trivial;undersized', 'forms': 'anatomy;application;arrangement;being;cast;construct;contour;design;document;figure;image;iteration;kind;lifeform;mode;model;mold;organism;paper;physique;shape;silhouette;sort;specie;structure;style;type;variety;version', 'buildings': 'apartment;architecture;arrangement;construction;domicile;dwelling;edifice;erection;fixture;framework;high rise;home;house;quarter;shape;shelter;store;structure;tower', 'kind': 'category;form;like;make;manner;model;nature;sort;structure;style;such;type;variety', 'hydrocarbons': 'acid;biomass;chemical;fuel;gas;material;oil', 'metals': 'alloy;iron;metal element;metallic;mineral;ore;solid;steel', 'stable': 'abiding;anchor;balanced;calm;consistent;constant;continual;durable;enduring;established;even;firm;fix;homeostatic;inert;invariable;level;livable;maintain;non volatile;quiet;regular;reliable;safe;secure;solid;sound;stalwart;static;staunch;steady;sturdy;sure;unchanging;unwaver', 'atmosphere': 'air;air supply;ambience;climate;condition;environment;locality;pressure;sky;support;surround;surroundings;troposphere;world'}","{'Thriving': 'ving;living;feeding;growing;driving;walking;loving;lifting;lasting;ranging;ending;burning;running;existing;Fighting;starting;Beginning;still', 'life': 'living;existence;death;vitality;live;nature;growth;air;water;breathing;health;soul;matter;spirit;survival', 'large': 'big;high;great;medium;massive;full;huge;giant;vast;long;major;broad;heavy;wide', 'small': 'medium;tiny;little;short;minor;low;simple;limited;compact;miniature;different;many;shallow;modest', 'forms': 'scales;shapes;sizes;formations;acts;parts;entities;portions;proportions;structures;creatures;bodies;types;functions;ways;patterns', 'buildings': 'structures;construction;walls;fires;roofs;houses;factories;pollution;fences;obstacles;bombs;waste;clouds;ruins;structure;dwellings;towers;dams', 'kind': 'type;sort;part;size;way;form;species;difference;brand;cost;description;means;shape', 'hydrocarbons': 'chemicals;oils;fuels;sugars;cannabinoids;acids;gases', 'metals': 'materials;gold;minerals;aluminum;nails;electronics;silver;magnets', 'stable': 'steady;constant;stability;stabilized;calm;volatile;safe;strong;consistent;reliable;secure;solid;fixed;neutral;positive;static;stationary', 'atmosphere': 'environment;climate;air;atmospheric;area;aura;mood;ozone;habitat;sky;interior;ecosystem;attitude;atom'}","{'Thriving': 'ving;living;feeding;growing;driving;walking;loving;lifting;lasting;ranging;ending;burning;running;existing;fighting;starting;beginning;still', 'life': 'living;existence;death;vitality;live;nature;growth;air;water;breathing;health;soul;matter;spirit;survival', 'large': 'big;high;great;medium;massive;full;huge;giant;vast;long;major;broad;heavy;wide', 'small': 'medium;tiny;little;short;minor;low;simple;limited;compact;miniature;different;many;shallow;modest', 'forms': 'scale;shape;size;formation;act;part;entity;portion;proportion;structure;creature;body;type;function;way;pattern', 'buildings': 'structure;construction;wall;fire;roof;house;factory;pollution;fence;obstacle;bomb;waste;cloud;ruin;structure;dwelling;tower;dam', 'kind': 'type;sort;part;size;way;form;specie;difference;brand;cost;description;mean;shape', 'hydrocarbons': 'chemical;oil;fuel;sugar;cannabinoids;acid;gas', 'metals': 'material;gold;mineral;aluminum;nail;electronics;silver;magnet', 'stable': 'steady;constant;stability;stabilized;calm;volatile;safe;strong;consistent;reliable;secure;solid;fixed;neutral;positive;static;stationary', 'atmosphere': 'environment;climate;air;atmospheric;area;aura;mood;ozone;habitat;sky;interior;ecosystem;attitude;atom'}"
"He studied me, then said, Im sorry things happened this way, Bernardo.","""I'm sorry things happened this way, Bernardo.","{'studied': 'analyze;canvass;consider;examine;eye;inspect;look;look at;ogle;size;watch', 'then': 'afterwards;and;thereafter', 'said': 'add;admit;announce;answer;apologize;explain;express to me;reply;say to me;speak;state;utter;verbalize', 'sorry': 'apologize;regret;regretful;sad;sorrowful;upset', 'things': 'circumstance;event;it;life;matter;situation;stuff', 'happened': 'become;end up;ensue;get;go;occur;transpire;turn', 'way': 'course;route'}","{'studied': 'examined;watched;looked;observed;analyzed;liked;investigated;recorded;saw;analysed;understood', 'then': 'later;first;finally', 'said': 'yelled;told;went;added;asked;talked;replied;explained;wrote;spoke;whispered;cried;started', 'sorry': 'apologies;happy;sad;sure;apologizing;glad', 'things': 'everything;matters;people;events;something;problems;movies', 'happened': 'went;ended;started;came;worked;said;turned;occurred', 'way': 'kind;time'}","{'studied': 'examined;watched;looked;observed;analyzed;liked;investigated;recorded;saw;analysed;understood', 'then': 'later;first;finally', 'said': 'yelled;told;went;added;asked;talked;replied;explained;wrote;spoke;whispered;cried;started', 'sorry': 'apology;happy;sad;sure;apologizing;glad', 'things': 'everything;matter;people;event;something;problem;movie', 'happened': 'went;ended;started;came;worked;said;turned;occurred', 'way': 'kind;time'}"
She wanted to be famous.,"""She wanted to be famous.","{'wanted': 'ache;crave;desire;long;wish;yearn', 'famous': 'a celebrity;admire;adore;celebrate;celebrity;know;love;notorious;recognize;renown;well know'}","{'wanted': 'wished;meant;tried;needed;liked;hoped', 'famous': 'popular;infamous;known;notorious;renowned;successful;beautiful;star;published;hated;fame'}","{'wanted': 'wished;meant;tried;needed;liked;hoped', 'famous': 'popular;infamous;known;notorious;renowned;successful;beautiful;star;published;hated;fame'}"
"Stepping into the living room, he said, A beautiful house.","""A beautiful house.""","{'living': 'dining;front;great;main;parlor;sit;welcome', 'room': 'area;quarter;space;wall', 'said': 'admit;agree;announce;declare;exclaim;mention;observe;remark;speak;state;utter', 'beautiful': 'attractive;dashing;gorgeous;handsome;lovely;marvelous;nice;pretty;stunning;wonderful', 'house': 'abode;dwelling;home;home interior;place;residence;structure'}","{'living': 'dining;sitting;moving;great;family;front;lounge', 'room': 'area;bedroom;door;space', 'said': 'added;exclaimed;explained;yelled;went;called;thought;saw;answered;admitted;repeated', 'beautiful': 'gorgeous;lovely;wonderful;pretty;beauty;stunning;spectacular;magnificent;great;glorious', 'house': 'home;mansion;place;family;kitchen;school;basement'}","{'living': 'dining;sitting;moving;great;family;front;lounge', 'room': 'area;bedroom;door;space', 'said': 'added;exclaimed;explained;yelled;went;called;thought;saw;answered;admitted;repeated', 'beautiful': 'gorgeous;lovely;wonderful;pretty;beauty;stunning;spectacular;magnificent;great;glorious', 'house': 'home;mansion;place;family;kitchen;school;basement'}"
I am never so quick-witted in person as I am on the page.,Especially when someone thinks me shockingly ignorant.,"{'never': ""at no time;ne'er;not;not at all;not ever;rarely;seldom"", 'so': 'as;as much;equally;extremely;quite;so very;such;therefore;this;unusually;very', 'quick': 'fast;instant;rapid;swift', 'witted': 'brain;humor;thinking', 'person': ""be;body;character;conversation;face to face [ no ' in ' );in reality;life;openly ( no ' in ' );public;real life;reality"", 'page': 'document;in print;in write;ink;letter;novel;paper;pen;script;writing;written word'}","{'never': 'sometimes;rarely;seldom;usually;often;twice;soon', 'so': 'really;thus;especially;yet', 'quick': 'fast;quickly;swift;slow', 'witted': 'itted;w;wit', 'person': 'print;people;spirit;life;man;public;action;reality;real;hand;live', 'page': 'screen;pen;web;webpage;computer;blog;line;paper;book;cover;site'}","{'never': 'sometimes;rarely;seldom;usually;often;twice;soon', 'so': 'really;thus;especially;yet', 'quick': 'fast;quickly;swift;slow', 'witted': 'itted;w;wit', 'person': 'print;people;spirit;life;man;public;action;reality;real;hand;live', 'page': 'screen;pen;web;webpage;computer;blog;line;paper;book;cover;site'}"
