sentence,target,gold,ls_concat
"Under Mr. Gorbachev, Mr. Goode said, the Soviets are openly stealing Western corporate communications. He cited the case of a Swiss oil trader who recently put out bids via telex for an oil tanker to pick up a cargo of crude in the Middle East. Among the responses the Swiss trader got was one from the Soviet national shipping company, which hadn't been invited to submit a bid.",case,action;shell;chest;basket;trunk;representative;example;incident;items in container;state;integument;baggage;story;jacket;crate;proof;occasion;caisson;tray;envelope;cartridge;position;dispute;holder;crating;coffer;suit;wrapping;compact;chassis;capsule;casket;event;covering;receptacle;wrapper;grip;folder;crib;predicament;casing;wallet;matter;safe;canister;caddy;litigation;circumstance;cabinet;container;exemplification;carton;proceedings;illustration;plight;drawer;lawsuit;cause;bag;suitcase;argument;cover;context;box;sheath;sampling;evidence;contingency;bin;chamber;scenario;claim;situation;matter brought before a court;eventuality;scabbard;petition;quandary;dilemma;instance;occurrence;problem;trial;sample;fact;crisis;conditions;example case;process;status;specimen;history,example;situation;instance;class;history
"Two points of fire opened in my throat for an instant, then all went numb. Taste, hearing and touch became a single blur, and I do not know if my eyes were open. My mind began to dissipate, but then I felt the pain withdraw and a lifeless voice said, “This one’s blood isn’t worth drinking.”",open,honest;uncertain;obvious;unclosed;fair;frank;unfolded;candid;doubtful;yawning;nondiscriminatory;straightforward;usable;gaping;unplugged;unconcealed;available;evident;on deck;see;visible;undissembled;welcoming;unburdened;unprejudiced;to be had;patulous;unsettled;proper;unreserved;downright;unconditional;artless;operative;expansive;obtainable;lay it on the line;moot;uncluttered;made passable;suitable;flagrant;unstopped;revealed;openhearted;disinterested;rolling;unblocked;unfurled;unlid;securable;patent;unresolved;cleared;dehiscent;ambiguous;receptive;expanded;vacated;spacious;overt;dubious;lift;up for discussion;public;spread out;unbiased;unimpeded;manifest;not forbidden;practicable;unqualified;noticeable;up-front;within reach;susceptible;on the level;up in the air;peeled;ingenuous;disclosed;allowable;natural;innocent;talking turkey;unobstructed;in question;extensive;conspicuous;passable;unfastened;ajar;blatant;rent;on tap;agape;admissible;guileless;debatable;navigable;uncovered;not posted;yet to be decided;attainable;controversial;objective;vacant;stripped;unlocked;ringent;arguable;employable;widen;unbarred;barefaced;unsealed;undisguised;problematic;indecisive;appropriate;unrestricted;accessible;naked;unclose;avowed;airy;questionable;dubitable;reachable;unbolted;permitted;transparent;agreeable;uncommitted;extended;plain;crack;mellow;emptied;unseal;removed;general;approachable;undecided;impartial;unoccupied;sincere;open-door;fit;exposed;getable;well-known;apparent;equivocal;wide;clear;openand-shut;bare;unshut;free,
"Karnes had his own Jeep, and went to the beach and to evening movies shown by other units as often as he could. But at the movies, he had to remove the distributor cap on his Jeep so the vehicle wouldn't be stolen, perhaps by jealous airmen who resented the 509th. Not until the day before Tibbets and his crew flew to Hiroshima was the 509th told what was happening.",jealous,possessory;guarded;watchful;green-eyed;mistrustful;intolerant;emulous;grasping;wary;skeptical;envious;invidious;possessive;vigilant;covetous;anxious;attentive;grabby;begrudging;suspicious;resentful;jaundiced;doubting;protective;angry;desirous;solicitous;demanding;apprehensive;questioning;envying;zealous;monopolizing;rival;grudging,greedy;angry;disgruntled;furious;frustrated;mad
"A twitch of her fingers summoned her pale servants. “One of these will lead you out.” I stood, and one of her servants took me and Amy to the door.",lead,point the way;govern;route;watch over;guard;squire;preside over;influence;attend;go out in front;coerce;convoy;force;escort;motivate;direct;conduct;bring;trail-blaze;move;accompany;serve;outstrip;point out;be responsible for;cause;show;precede;compel;get the jump on;chaperone;span;manage;produce;traverse;prompt;run things;tend;incline;quarterback;safeguard;contribute;preface;persuade;show the way;pilot;guide physically;help;introduce;drive;head;bring on;go along with;guide;show around;convey;helm;come first;draw;blaze a trail;result in;guide mentally;convert;induce;outdo;prevail;spearhead;find a way;conduce;protect;pass along;usher;shepherd;take;impel;spur;show in;supervise;get;call the shots;steer;transcend;exceed;see;excel;affect;command;dispose;surpass be;ahead,guide;take;walk;show;point
"I thought that my odds were better on the dance floor. Holding Amy in my arms as we ducked between the crush of dancers, I started to wonder if the chances of finding this vampire were even good enough to merit this. I wasn’t sure that I could survive the crush of the crowd.",chances,scope;happening;occasion;look-in;even chance;probability;casualty;hit;craps game;odd;liability;fortune;misfortune;stroke of luck;bet;toss-up;fair shake;time;show;future;outlook;good luck;wheel of fortune;fortuity;destiny;lot;haphazard;likelihood;outcome;doom;peradventure;jeopardy;fighting chance;raffle;shot;bad luck;fate;contingency;kismet;long shot;peril;lucky break;speculation;opening;coincidence;advantage;possibility;squeak;adventure;accident;lottery;luck out;throw of the dice;providence;prospect;occurrence;opportunity;destination;fluke;cast;way the cookie crumbles;wager;odds;gamble;stake;fall of the cards;risk;luck;try;in the cards;turn of the cards;break;heads or tails;indications;venture;hazard;hap,odds;prospects;probabilities;possibilities;risks;opportunities;hopes;catches
"“May I invite you to have a cup of tea?” “No, thank you,” said Nepthys, “we regret that we cannot take up your kind offer. Are you the proprietor of this shop?” “Yes,” answered the woman.",kind,benevolent;description;habit;classification;style;family;humane;complexion;tendency;variety;fiber;altruistic;way;nature;temperament;kin;designation;character;gender;amiable;number;mold;understanding;nice;lot;type;denomination;connection;order;ilk;gracious;persuasion;stripe;species;brand;sort;generous;stamp;essence;considerate;breed;manner;tribe;race;set;class;genus;likes,kindly;nice;good;friendly;sweet;warm;generous
He downed the second shot. “I am glad to be out of the favor-trading scene for half a minute. It’s exhausting to talk to those people.,minute,sec;jiffy;flash;short time;split second;instant;nothing flat;second;twinkling;breath;breathing;crack;min;shake;moment;eye;mo;brief time period bat of an;sixtieth of hour;sixty seconds,moment;second;million;min;quarter;third
"One way would be to speed up the flow of health supplies and other urgent commodities to the country under a U.N. humanitarian program, he said. Iraq says the United States and Britain hold up delivery of needed supplies, using their clout in the United Nations. The U.S. government says it wants to ensure that Iraq is not buying items that appear to be humanitarian in nature but that could be used for making weapons.",says,estimate;believe;orate;communicate;respond;judge;put forth;tell;voice;come out with;assert;imagine;express;jaw;read;rumor;render;avow;rehearse;insist;spiel;allege;put into words;guess;maintain;pronounce;deliver;gab;reply;imply;make declaration;recite;answer;flap;perform;declare;convey;mention;give voice;suggest;affirm;divulge;disclose;state;conjecture;reveal;announce;speak;opine;verbalize;do;lip;utter;make known;break silence;claim;report;remark;repeat;rap;relate;yak;add,claims;sees;calls;accuses;complains
"When we got there, another pale servant was waiting for us with a box of dark stained wood. He offered it to Nepthys, who opened the box: on velvet lining, a wooden hammer and two stakes. “Mountain ash,” said Nepthys.",box,carton;often square or rectangular;portmanteau;casket;container;chest;locker;trunk;bin;receptacle;case;coffer;pack;crate;package,package;chest;crate;container
"It flashed in the strobe where it wasn’t streaked with Dvorov’s blood. “He wasn’t the only one with a secret or two,” he said by way of explanation. “You spotted our boy, didn’t you?",way,entry;action;procedure;trend;trail;movement;tendency;alternative;wise;road;design;stretch;form;situation;characteristic;forward motion;drag;approach;path;byway;plot;tack;hook;practice;avenue;extent;advance;respect;route;condition;manner;gait;usage;groove;fashion;act;shot;habit;circumstance;custom;sense;guise;highway;measure;stroke;passage;trait;lane;detail;walk;opening;contrivance;progression;expedient;move;gate;shape;style;entrance;nature;vehicle;room;plan;feature;mode;mean;tone;step;idea;pathway;row;door;ride;artery;instrument;orbit;thing;habitude;personality;course;entrée;length;conduct;track;street;line;use;direction;admission;point;admittance;system;channel;kick;gateway;thoroughfare;technique;course of action;headway;elbowroom;policy;boulevard;trick;bearing;distance;behavior;wont;space;state;march;idiosyncrasy;scheme;progress;consuetude;hang-up;outline;particular;aspect;fettle;method;journey;thataway;stones throw;means;process;access;status;praxis;modus;ingress,means;right;reason;virtue;choice;use;meaning;manner
""" The conversations seem to indicate a familiarity between Tokhtakhounov and Anissina. Tass, the official Russian news agency, reported that Anissina attended a ceremony in 1999 at a Paris hotel honoring Tokhtakhounov for his philanthropy.",indicate,illustrate;testify;betoken;finger;designate;read;hint;show;reveal;announce;card;evince;evidence;sign;signal;signify;connote;intimate;prove;uncover;demonstrate;be symptomatic;import;manifest;peg;denote;belie;imply;argue;specify;tab;pin down;button down;make;augur;record;attest;bespeak;mean;express;confirm;point to;pinpoint;point out;mark;name;tag;slot;symbolize;register;suggest;witness;display add up;to,demonstrate;constitute;comprise;suggest;include;provide;preclude
"I stood and turned toward the altar. The vampire was walking just steps ahead of me. I stepped up behind him and raised my hands, which almost seemed to be glowing.",walking,traipse;traverse;stump;canter;step;roam;meander;tramp;hoof it;prance;hike;pace;parade;trudge;tread;locomote;strut;amble;lumber;travel on foot;run;plod;hit the road;saunter;tour;trek;file;slog;ambulate;come;foot;troop;take a walk;perambulate;move along on foot;knock about;leg;toddle;wander;lead;stride;march;shamble;go;rove;shuffle;promenade;race;stalk;go on foot;exercise;trot;escort;patrol;stroll;move;scuff;advance;pad;wend ones way,standing;pacing;moving;wandering;marching;running;going
"But industry analysts said the plant should be insulated from a falloff in one or a few segments of the semiconductor market. (END OPTIONAL TRIM) The factory is highly automated and designed to shift flexibly to produce many different kinds of chips to suit demand. ""The diversity is the big difference with this plant,"" said Richard Doherty, president of Envisioneering, a research firm.",chips,silicon chip;semiconductor;part;shaving;scrap;flaw;gobbet;wedge;paring;computer chip;dent;shard;wafer;scratch;nick;flake;notch;slice;sliver;fragment,cells;processors;screens;parts;computers;cards
"Intending to ease consumer access to mental health care, New Mexico legislators in March passed a law allowing psychologists to prescribe psychotropic medications, such as antidepressants. The state's action, the first in the nation, has the blessing of the American Psychological Association (APA), which considers prescriptive authority a logical extension of psychologists' role as health-care providers. But powerful groups, including the American Medical Association, oppose the idea and have a surprising source of support: psychologists themselves, some of whom call it a radical experiment and fear that the most likely victim will be the science of psychology.",logical,consequent;cogent;obvious;kosher;pertinent;plausible;sound;convincing;discerning;commonsensical;rational;sensible;holding water;perceptive;germane;judicious;perspicuous;reasonable;intelligent;necessary;congruent;clear;legit;analytical;consistent;compelling;probable;rightful;telling;valid;wise;analytic;fair;deducible;lucid;justifiable;subtle;holding together;well-organized;coherent;inferential;juridicious;discriminating;most likely;legitimate;extensional;relevant,
Corn vichyssoise with caviar Julia's composed near-nicoise salad Atlantic halibut with flavored butters,salad,mix;casserole;coleslaw;fruit salad;toss salad;entree;potato salad;medley;tossed salad;green;dish;greens;waldorf salad;mixed greens;dish of vegetables,lettuce;dish;recipe;style;cocktail
"T-shirts hanging on the wall are inscribed with the scores of each of the Tigers' five defeats. ""We see that crimson (from the Alabama loss) every day,"" tight end Lorenzo Diamond said, ""and that's a big motivational factor for us. ""But I think we've moved past last season.",big,"paramount;brimming;great;mammoth;generous;proud;husky;tall;considerable;major;pretentious;flamboyant;gigantic;spacious;considerate;stuffed;heavyweight;ponderous;extensive;full;substantial;hefty;massive;pompous;greathearted;noble;important;inflated;significant;copious;heavy-duty;haughty;principal;big-time;sizable;bragging;major league;gracious;liberal;prodigious;vast;momentous;leading;high-sounding;oversize;monster;benevolent;roomy;presumptuous;conceited;serious;chivalrous;grown;huge;arrogant;terrific;weighty;commodious;arty;consequential;heroic;enormous;bighearted;adult;lofty;strapping;hulking;free;whopper;prominent;a whale of a;princely;capacious;chock-full;walloping;full-grown;large;burly;packed;crowded;imperious;awash;imposing;fat;whopping;unselfish;popular;thundering;jumbo;elder;voluminous;main;bull;valuable;altruistic;overblown;influential;mondo;eminent;prime;material;immense;colossal;mature;tremendous;humongous;bulky;super colossal;powerful;boastful;meaningful;magnanimous;super;league;heavyduty;grownup;important big;large, great ample,",huge;good;real;really;major;great
"A bleeding, eyeless thing shuddered and beat its arms against me, but I ducked around it and toward the bar. I slipped past the waving monstrosity that had blocked my view before, a mountain of wet, veined flesh, and had almost passed through the crowd when a clawed hand grabbed my arm. It was Dvorov.",past,foregoing;gone by;ago;elapsed;extinct;anterior;one-time;sometime;precedent;beside;latter;recent;ancient;forgotten;antecedent;finished;early;ended;former;back when;way back when;quondam;down memory lane;erstwhile;once;ex-;olden;latter-day;preceding;late;accomplished;prior;before;over and done;through;earlier;over;completed;around;bygone;spent;bypast;old;retired;done;previous;beyond;gone;way back;behind one;gone-by;time was;across;ancient history;former ages;longago;olden days;good old days,beyond;behind
"“Let’s not get fucked up tonight, though, okay, Rache? We don’t – ” “Sure, babe.",do,interpret;impersonate;stop in;render the role;give satisfaction;portray;decipher;demean;avail;transact;go for it;determine;pass through;make out;operate;be good enough for;arrange;personate;suit;be of use;muddle through;fare;see to;track;cover;transliterate;appear;take on;defraud;quit;close;dupe;flimflam;carry out;fix;discharge;hoax;overreach;complete;wind up;be enough;engage in;come on like;enact;stagger along;undertake;seem;deceive;get along;wo;chouse;finish;cozen;resolve;transpose;create;act;visit;conclude;end;produce;traverse;make ready;make;deport;figure out;fleece;carry;take for a ride;look after;go on;be sufficient;get with it;do not;work;journey;bear;achieve;serve;organize;answer;effect;gyp;suffice;travel;cook;be useful;trick;give;bring about;pull off;wrap up;execute;get by;bilk;be responsible for;conduct;look at;comport;pass muster;playact;move;prepare;solve;puzzle out;accomplish;beat;tour;play;put on;adapt;explore;succeed;discourse;present;fulfill;work out;be adequate;manage;swindle;perform;render;take care of business;translate;con;decode;get ready;cause;satisfy;cheat;do ones thing;behave acquit;oneself,
"“Thanks. It’s very reassuring that I’ll not only be an outsider but a curiosity.” “Nathan, you told me five minutes ago that you would do anything to help Rachel.",very,"largely;excessively;notably;positively;astonishingly;truly;extensively;prodigiously;noticeably;substantially;emphatically;profoundly;unusually;incredibly;remarkably;vastly;uncommonly;superlatively;eminently;acutely;extraordinarily;terribly;amply;to a high degree;really;so;wonderfully;certainly;greatly;pretty;particularly;exceedingly;extremely;highly;deeply;pressingly;surpassingly;dearly;awfully;surprisingly;exaggeratedly;decidedly;considerably;powerfully;absolutely;indispensably;much, really",extremely;quite;highly;really;also
"I walked around the car and got into the passenger seat. Before I had my belt on, we were rolling forward. “Okay,” I said.",forward,before;in advance;frontward;on;time;vanward;forth;beforehand;to the fore;alee;ante;into view;out;into prominence;precedently;along;previous;toward the front in order;antecedently;onward;straight;fore;ahead,ahead;outward;forth
"Don’t forget, she’s your girlfriend. Now calm down while I talk to this gentleman. I can hear your heartbeat from over here.”",calm,allay;alleviate;appease;placate;cool it;cool;compose;chill;assuage;quiet;mitigate;sedate;take the edge off;tranquilize;simmer down;lay back;lull;cool out;relieve;quieten;still;take it easy;balm;becalm;settle;stroke;relax;hush;mollify;make composed;pacify;soothe;steady;softpedal,cool;settle;chill;quiet;sit;slow;simmer
"From behind him, I could hear something that sounded like a remix of the Cure’s “A Forest”. “I’m here to see Isis. Tell her that Nepthys is here to see her.”",see,foretell;feel;lead;inspect;discern;get;steer;catch;penetrate;observe;picture;meet;look;stop in;view;look at;perceive;heed;realize;divine;glare;find out;shepherd;perceive with eyes;catch on;take out;call on;envisage;descry;peg;discover;behold;comprehend;identify;think;escort;receive;scope;recognize;learn;vision;spy;watch;keep company with;route;understand;suffer;walk;catch sight of;stare;flash;conceive;get a load of;conduct;usher;run into;study;visit;go out with;feature;sight;anticipate;detect;catch a glimpse of;show;know;imagine;make out;stop by;peek;undergo;come over;clock;note;espy;get the drift;glimpse;visualize;accompany;fancy;drop by;pop in;go with;appreciate;foresee;peep;look up;speak to;mark;pilot;ponder;contemplate;direct;call;be apprised of;scan;encounter;witness;unearth;sustain;gape;come by;mind;bear company;survey;take notice;appraise;take in;date;examine;grasp;follow;beam;pierce;peer;ascertain;pay attention to;experience;lay eyes on;consort with;regard;distinguish;notice;gawk;determine;eye;spot;attend;drop in;envision;gaze;have;tumble;investigate;fathom;get the hang of;remark;hear;weigh;scrutinize;with;guide associate,show;visit;saw;get;meet;hear;tell;find;look
"“You’ve got a deal. Let’s go.” As we headed down the sidewalk, I said, “What is your name, anyway?”",Let,enable;live with;hire;suffer;make;give;license;give okay;sublease;have;off we;sit still for;cause;we will;concede;tolerate;allow;lease;warrant;hear of;free up;give leave;property;give permission;come;leave;accredit;permit;sublet;grant;be big;sanction;endorse;charter;authorize;commission;certify;approve;rent out object,let
"Comey said Tokhtakhounov had three residences in Italy: Forte dei Marmi, Rome and Milan. The complaint against Tokhtakhounov's traces his contact with figure skating to 2000, when he proposed to Gailhaguet the creation of a professional hockey team in Paris that would provide revenue for the French Skating Federation. ( Gailhaguet and Anissina are not referred to by name in an accompanying FBI agent's affidavit, but by their descriptions their identities are obvious.",proposed,propound;advocate;make a motion;lay on the line;proposition;make a proposal;nominate;assert;have in mind;invite;purpose;request;intend;introduce;lay before;contemplate;pose;affirm;adduce;get down on one knee;mean;submit;move for;kibitz;aim;have every intention;offer marriage;fire the question;put up;advise;design;name;put forward;hint;make a pitch;volunteer;tender;announce;ask;pop the question;set forth;recommend;put to;present;contend;advance;spitball;mind;suggest;prefer;solicit;hit on;hold out;present for action;proffer;propone;state;counsel;offer;urge;come up with;plan;press;broach;scheme;ask for hand in marriage ask in;press ones suit;marriage;speak ones piece,suggested;presented;recommended;disclosed;proposal;offered
"I do not want to provide help to someone who would do harm.” “Sir, we simply want to discover whether this individual is, in fact, a vampire. If there is any boon that you would have us do in return, we would be glad to do it.”",discover,design;distinguish;discern;catch;unearth;pioneer;smoke out;glimpse;reveal;find;locate;investigate;sense;decide;turn up;find out;see;determine;come across;ascertain;dig up;devise;pick up on;ferret out;know;recognize;probe;uncover;perceive;invent;bring to light;light upon;notice;espy;disclose;contrive;look up;spot;detect;confirm;elicit;learn;hear;explore;observe;nose out;think of;identify;get wind of;originate;realize;come upon;debunk;get wise to;conceive,determine;uncover;learn;ascertain;demonstrate;know;conclude;investigate
"Madame Entera took me back up to the stone’s room, where Nepthys was waiting by the door. “Be careful you don’t let him touch it until you’re ready to use it,” the woman admonished Nepthys as she slipped the stone into a grey cloth pouch and handed it to him. “Thank you for doing business at our house, and I hope to see you again!”",pouch,sac;pocket;sack;bag;stash bag;receptacle;purse;poke;pocketbook;soft;often made of cloth or skin bag;container,bag;pocket;purse;patch;cup;sack;flask;flap
"The FBI cited a vivid conversation with Anissina's mother in which Tokhtakhounov assured her that even if her daughter ""falls, we will make sure she is No. 1."" After the Winter Olympics, a French judge, Marie-Reine Le Gougne, was suspended by the International Skating Union for not reporting pressure she said was put on her by Didier Gailhaguet, president of the French Skating Federation, to vote for the Russian pairs team. She later recanted and said that Canadian officials had pressured her.",said,convey;orate;declare;give voice;quote;suggest;imply;flap;allege;relate;reveal;mention;rumor;remark;verbalize;assert;conjecture;announce;recite;deliver;put into words;disclose;tell;jaw;render;come out with;make declaration;do;claim;yak;perform;maintain;estimate;state;read;report;utter;reply;voice;divulge;opine;add;guess;communicate;pronounce;make known;break silence;repeat;put forth;speak;rehearse;rap;gab;affirm;judge;respond;express;imagine;argue;answer;spiel;lip,claimed;thought;alleged;felt;called
"That just unnerved me more. As we kept driving, the anxiety grew more pronounced. I noticed that there were some people on the street, people the same color as the soiled buildings.",driving,transport;burn up the road;burn rubber;jackhammer;rouse;plunge;encourage;spur;force;wheel;roll;smite;press;shove;bicycle;manage;direct;coerce;animate;start;hurry;knock;shoot;floor it;step on the gas;sink;harass;hound;worry;hustle;bulldoze;handle;advance;prod;stimulate;cycle;overburden;dig;shepherd;tailgate;sock;impel;make;strike;prompt;fly;pressure;whack;inspire;tool;stab;provoke;egg on;nag;wham;twack;batter;cruise;dash;fire up;move or urge on;motivate;speed;ride herd on;rush;maul;steer;ram;actuate;hasten;throw;work on;run;constrain;put up to;act upon;herd;travel;kick;operate;instigate;mobilize;vehiculate;push;stick;beat;butt;spin;hammer;move;step on it;arouse;chase;dog;oblige;propel;punch;overwork;coast;motor;hurl;lean on it;goad;goose;send;make sparks fly;thrust;pop;pour it on;turn;hit with heavy blow;bear down;go;steamroll;thump;compel;spirit up;pound;bike;guide;ride;railroad;induce;lean on;drag;moving;controlling a vehicle,going;travelling;moving;walking;traveling
"The cold thing stretched and cast around with its sucker-mouth until it found the soft spot inside my elbow, where it softly sucked on and began to work its way under my skin. I thought that I could feel a slight itching. “They take about a quarter-pint each,” said Madame Entera, drawing out another skinny leech.",thought,stew;speculate;vision;cogitate;be convinced;envision;envisage;weigh;recall;rationalize;comprehend;visualize;take under consideration;mull;consider;suppose;revolve;feature;credit;regard;ruminate;determine;logicalize;fancy;deem;analyze;image;appreciate;suspect;believe;mull over;plan for;sort out;guess;deliberate;conceive;take;examine;realize;infer;meditate;assume;ponder;imagine;cerebrate;estimate;anticipate;project;reflect;expect;feel;foresee;sense;recollect;gather;surmise;conclude;judge;notice;stop to consider;deduce;esteem;reckon;contemplate;resolve;hold;see;brood;appraise;reminisce;have in mind;turn over;muse;presume;understand;ideate;intellectualize;study;figure out;evaluate;reason;rack ones brains;remember call to;use ones head;mind,said;liked;felt;worried;noticed;meant;though
"“You’ve lost blood, boy? This story might be interesting. Does it have anything to do with why your head is shaved?”",interesting,unusual;riveting;gripping;amusing;beautiful;fascinating;thrilling;provocative;affecting;attractive;winning;inviting;appealing;entrancing;arresting;engrossing;magnetic;alluring;exotic;charismatic;stirring;enchanting;engaging;striking;exceptional;intriguing;captivating;suspicious;pleasurable;gracious;curious;absorbing;pleasing;readable;refreshing;enthrall;elegant;exciting;lovely;delightful;fine;impressive;compelling;arouse;enthralling;thought-provoking;prepossessing;stimulating;entertaining,fascinating;amusing;intriguing;exciting;funny;entertaining;fun
