sentence,target,gold_05,gold_01
"Two points of fire opened in my throat for an instant, then all went numb. Taste, hearing and touch became a single blur, and I do not know if my eyes were open. My mind began to dissipate, but then I felt the pain withdraw and a lifeless voice said, “This one’s blood isn’t worth drinking.”",open,peeled;agape;uncovered;unclose;wide;unshut,honest;obvious;unclosed;fair;frank;unfolded;candid;visible;operative;unblocked;receptive;peeled;unobstructed;agape;uncovered;unsealed;unrestricted;accessible;naked;unclose;avowed;crack;unseal;removed;approachable;undecided;impartial;unoccupied;exposed;wide;clear;unshut
"Karnes had his own Jeep, and went to the beach and to evening movies shown by other units as often as he could. But at the movies, he had to remove the distributor cap on his Jeep so the vehicle wouldn't be stolen, perhaps by jealous airmen who resented the 509th. Not until the day before Tibbets and his crew flew to Hiroshima was the 509th told what was happening.",jealous,envious;envying,possessory;envious;covetous;begrudging;desirous;envying;grudging
"A twitch of her fingers summoned her pale servants. “One of these will lead you out.” I stood, and one of her servants took me and Amy to the door.",lead,point the way;escort;direct;bring;accompany;show;show the way;guide physically;help;guide;usher;take;get;steer;see,point the way;route;attend;escort;direct;conduct;bring;accompany;point out;show;precede;chaperone;safeguard;contribute;preface;persuade;show the way;pilot;guide physically;help;introduce;drive;head;guide;convey;draw;find a way;usher;shepherd;take;supervise;get;steer;see
"I thought that my odds were better on the dance floor. Holding Amy in my arms as we ducked between the crush of dancers, I started to wonder if the chances of finding this vampire were even good enough to merit this. I wasn’t sure that I could survive the crush of the crowd.",chances,probability;likelihood;possibility;prospect;opportunity;odds;luck,scope;even chance;probability;odd;fortune;stroke of luck;time;future;outlook;likelihood;outcome;fighting chance;fate;long shot;lucky break;speculation;opening;possibility;throw of the dice;providence;prospect;opportunity;wager;odds;gamble;stake;fall of the cards;risk;luck;try;in the cards;heads or tails;indications
"“May I invite you to have a cup of tea?” “No, thank you,” said Nepthys, “we regret that we cannot take up your kind offer. Are you the proprietor of this shop?” “Yes,” answered the woman.",kind,amiable;nice;generous;considerate,benevolent;humane;temperament;amiable;nice;gracious;generous;considerate
He downed the second shot. “I am glad to be out of the favor-trading scene for half a minute. It’s exhausting to talk to those people.,minute,min;moment,sec;instant;second;breath;min;moment;brief time period bat of an;sixty seconds
"One way would be to speed up the flow of health supplies and other urgent commodities to the country under a U.N. humanitarian program, he said. Iraq says the United States and Britain hold up delivery of needed supplies, using their clout in the United Nations. The U.S. government says it wants to ensure that Iraq is not buying items that appear to be humanitarian in nature but that could be used for making weapons.",says,tell;voice;assert;express;insist;allege;put into words;pronounce;imply;declare;convey;mention;suggest;state;announce;verbalize;claim,estimate;believe;communicate;respond;judge;put forth;tell;voice;assert;express;insist;allege;put into words;pronounce;gab;reply;imply;make declaration;declare;convey;mention;suggest;affirm;divulge;disclose;state;reveal;announce;verbalize;utter;make known;claim;report;remark
"When we got there, another pale servant was waiting for us with a box of dark stained wood. He offered it to Nepthys, who opened the box: on velvet lining, a wooden hammer and two stakes. “Mountain ash,” said Nepthys.",box,carton;casket;container;chest;trunk;case;pack;crate;package,carton;casket;container;chest;locker;trunk;bin;receptacle;case;pack;crate;package
"It flashed in the strobe where it wasn’t streaked with Dvorov’s blood. “He wasn’t the only one with a secret or two,” he said by way of explanation. “You spotted our boy, didn’t you?",way,form;manner;mode;course;method;means;process,entry;road;design;form;situation;characteristic;path;avenue;route;condition;manner;highway;mode;idea;pathway;instrument;course;point;channel;gateway;technique;course of action;method;means;process
""" The conversations seem to indicate a familiarity between Tokhtakhounov and Anissina. Tass, the official Russian news agency, reported that Anissina attended a ceremony in 1999 at a Paris hotel honoring Tokhtakhounov for his philanthropy.",indicate,illustrate;show;reveal;signal;signify;prove;demonstrate;denote;imply;mean;express;point to;point out;mark;suggest,illustrate;designate;show;reveal;announce;evidence;signal;signify;intimate;prove;uncover;demonstrate;manifest;peg;denote;imply;specify;attest;bespeak;mean;express;confirm;point to;point out;mark;name;tag;symbolize;register;suggest;witness
"I stood and turned toward the altar. The vampire was walking just steps ahead of me. I stepped up behind him and raised my hands, which almost seemed to be glowing.",walking,tread;strut;travel on foot;move along on foot;stroll;move,traipse;roam;meander;tramp;prance;hike;pace;parade;trudge;tread;strut;amble;lumber;travel on foot;run;plod;saunter;trek;slog;ambulate;take a walk;perambulate;move along on foot;stride;march;go;rove;shuffle;race;stalk;go on foot;exercise;trot;stroll;move;advance;pad
"But industry analysts said the plant should be insulated from a falloff in one or a few segments of the semiconductor market. (END OPTIONAL TRIM) The factory is highly automated and designed to shift flexibly to produce many different kinds of chips to suit demand. ""The diversity is the big difference with this plant,"" said Richard Doherty, president of Envisioneering, a research firm.",chips,computer chip,computer chip;fragment
"Intending to ease consumer access to mental health care, New Mexico legislators in March passed a law allowing psychologists to prescribe psychotropic medications, such as antidepressants. The state's action, the first in the nation, has the blessing of the American Psychological Association (APA), which considers prescriptive authority a logical extension of psychologists' role as health-care providers. But powerful groups, including the American Medical Association, oppose the idea and have a surprising source of support: psychologists themselves, some of whom call it a radical experiment and fear that the most likely victim will be the science of psychology.",logical,obvious;plausible;rational;sensible;reasonable;clear;legit;valid;fair;justifiable;well-organized;coherent;legitimate;relevant,cogent;obvious;plausible;sound;commonsensical;rational;sensible;reasonable;necessary;congruent;clear;legit;consistent;probable;rightful;valid;wise;analytic;fair;deducible;justifiable;subtle;well-organized;coherent;most likely;legitimate;extensional;relevant
Corn vichyssoise with caviar Julia's composed near-nicoise salad Atlantic halibut with flavored butters,salad,tossed salad;greens;mixed greens;dish of vegetables,mix;fruit salad;toss salad;entree;medley;tossed salad;dish;greens;mixed greens;dish of vegetables
"T-shirts hanging on the wall are inscribed with the scores of each of the Tigers' five defeats. ""We see that crimson (from the Alabama loss) every day,"" tight end Lorenzo Diamond said, ""and that's a big motivational factor for us. ""But I think we've moved past last season.",big,"great;considerable;major;gigantic;substantial;hefty;massive;important;significant;big-time;huge;enormous;a whale of a;large;whopping;voluminous;influential;immense;colossal;tremendous;humongous;powerful;important big;large, great ample,","paramount;great;mammoth;considerable;major;gigantic;extensive;substantial;hefty;massive;noble;important;inflated;significant;copious;heavy-duty;principal;big-time;major league;vast;momentous;leading;oversize;monster;serious;huge;consequential;enormous;lofty;hulking;whopper;prominent;a whale of a;chock-full;walloping;full-grown;large;burly;whopping;jumbo;voluminous;main;valuable;influential;eminent;prime;immense;colossal;tremendous;humongous;powerful;meaningful;heavyduty;important big;large, great ample,"
"A bleeding, eyeless thing shuddered and beat its arms against me, but I ducked around it and toward the bar. I slipped past the waving monstrosity that had blocked my view before, a mountain of wet, veined flesh, and had almost passed through the crowd when a clawed hand grabbed my arm. It was Dvorov.",past,through;around;beyond,gone by;through;over;around;bygone;previous;beyond;across
"“Let’s not get fucked up tonight, though, okay, Rache? We don’t – ” “Sure, babe.",do,,wo;be responsible for;conduct;look at;move;prepare;solve;fulfill;do ones thing
"“Thanks. It’s very reassuring that I’ll not only be an outsider but a curiosity.” “Nathan, you told me five minutes ago that you would do anything to help Rachel.",very,truly;emphatically;profoundly;incredibly;remarkably;extraordinarily;to a high degree;really;so;wonderfully;certainly;greatly;pretty;exceedingly;extremely;highly;deeply;awfully;considerably;absolutely,notably;truly;extensively;noticeably;emphatically;profoundly;incredibly;remarkably;vastly;acutely;extraordinarily;terribly;amply;to a high degree;really;so;wonderfully;certainly;greatly;pretty;particularly;exceedingly;extremely;highly;deeply;surpassingly;dearly;awfully;decidedly;considerably;powerfully;absolutely
"I walked around the car and got into the passenger seat. Before I had my belt on, we were rolling forward. “Okay,” I said.",forward,forth;along;ahead,frontward;on;forth;to the fore;out;into prominence;along;onward;straight;ahead
"Don’t forget, she’s your girlfriend. Now calm down while I talk to this gentleman. I can hear your heartbeat from over here.”",calm,cool it;cool;chill;quiet;settle,cool it;cool;compose;chill;quiet;simmer down;cool out;quieten;settle;relax;hush
"From behind him, I could hear something that sounded like a remix of the Cure’s “A Forest”. “I’m here to see Isis. Tell her that Nepthys is here to see her.”",see,meet;visit;speak to,inspect;catch;observe;meet;call on;watch;keep company with;catch sight of;run into;visit;go out with;sight;detect;catch a glimpse of;make out;peek;glimpse;accompany;pop in;go with;peep;speak to;encounter;witness;come by;peer;pay attention to;lay eyes on;guide associate
"“You’ve got a deal. Let’s go.” As we headed down the sidewalk, I said, “What is your name, anyway?”",Let,,off we;we will;allow
"Comey said Tokhtakhounov had three residences in Italy: Forte dei Marmi, Rome and Milan. The complaint against Tokhtakhounov's traces his contact with figure skating to 2000, when he proposed to Gailhaguet the creation of a professional hockey team in Paris that would provide revenue for the French Skating Federation. ( Gailhaguet and Anissina are not referred to by name in an accompanying FBI agent's affidavit, but by their descriptions their identities are obvious.",proposed,advocate;make a proposal;recommend;present;suggest,propound;advocate;make a motion;proposition;make a proposal;nominate;assert;purpose;request;introduce;get down on one knee;submit;put up;advise;put forward;make a pitch;volunteer;announce;ask;pop the question;set forth;recommend;put to;present;advance;suggest;present for action;state;offer;come up with;plan;scheme;ask for hand in marriage ask in;press ones suit;marriage;speak ones piece
"I do not want to provide help to someone who would do harm.” “Sir, we simply want to discover whether this individual is, in fact, a vampire. If there is any boon that you would have us do in return, we would be glad to do it.”",discover,find;investigate;find out;see;determine;ascertain;know;uncover;bring to light;learn;identify,discern;unearth;smoke out;reveal;find;investigate;decide;find out;see;determine;ascertain;devise;ferret out;know;recognize;uncover;perceive;bring to light;notice;disclose;look up;learn;observe;nose out;identify;realize;get wise to;conceive
"Madame Entera took me back up to the stone’s room, where Nepthys was waiting by the door. “Be careful you don’t let him touch it until you’re ready to use it,” the woman admonished Nepthys as she slipped the stone into a grey cloth pouch and handed it to him. “Thank you for doing business at our house, and I hope to see you again!”",pouch,sack;bag;purse;container,sack;bag;stash bag;purse;pocketbook;container
"The FBI cited a vivid conversation with Anissina's mother in which Tokhtakhounov assured her that even if her daughter ""falls, we will make sure she is No. 1."" After the Winter Olympics, a French judge, Marie-Reine Le Gougne, was suspended by the International Skating Union for not reporting pressure she said was put on her by Didier Gailhaguet, president of the French Skating Federation, to vote for the Russian pairs team. She later recanted and said that Canadian officials had pressured her.",said,convey;declare;allege;mention;announce;claim;state;express,convey;declare;quote;suggest;imply;allege;relate;reveal;mention;rumor;remark;verbalize;assert;announce;recite;put into words;disclose;tell;make declaration;claim;maintain;state;report;utter;reply;voice;divulge;add;guess;communicate;pronounce;make known;break silence;repeat;put forth;speak;rap;gab;affirm;respond;express;answer
"That just unnerved me more. As we kept driving, the anxiety grew more pronounced. I noticed that there were some people on the street, people the same color as the soiled buildings.",driving,advance;move;go;ride;moving;controlling a vehicle,burn rubber;advance;cycle;tailgate;cruise;travel;operate;vehiculate;push;stick;spin;move;propel;motor;turn;hit with heavy blow;bear down;go;ride;moving;controlling a vehicle
"The cold thing stretched and cast around with its sucker-mouth until it found the soft spot inside my elbow, where it softly sucked on and began to work its way under my skin. I thought that I could feel a slight itching. “They take about a quarter-pint each,” said Madame Entera, drawing out another skinny leech.",thought,believe;imagine;stop to consider,be convinced;envision;recall;comprehend;consider;suppose;determine;believe;realize;infer;assume;ponder;imagine;anticipate;feel;sense;surmise;conclude;judge;notice;stop to consider;deduce;reckon;contemplate;appraise;presume;rack ones brains;remember call to;use ones head;mind
"“You’ve lost blood, boy? This story might be interesting. Does it have anything to do with why your head is shaved?”",interesting,riveting;amusing;fascinating;thrilling;appealing;alluring;engaging;intriguing;captivating;exciting;compelling;enthralling;thought-provoking;entertaining,unusual;riveting;amusing;beautiful;fascinating;thrilling;provocative;affecting;inviting;appealing;entrancing;engrossing;magnetic;alluring;exotic;charismatic;enchanting;engaging;striking;exceptional;intriguing;captivating;curious;pleasing;refreshing;enthrall;exciting;fine;impressive;compelling;arouse;enthralling;thought-provoking;prepossessing;stimulating;entertaining
"“All right, then. Let me see if I can find him.” Isis closed her eyes and lifted her hands.",Let,allow me to;enable;permit;allow,grant;allow me to;warrant;enable;permit;allow;have;make;commission;give permission;free up;sublet
"“Yeah, one time, man, but you were pretty fucked up. What’s your problem, kid?” The hunchbacked man came up to my stomach.",problem,issue;trouble;deal;predicament;complication,issue;trouble;puzzle;conundrum;deal;predicament;complication;worriment;major malfunction;pickle;can of worms;mess
"In Ochoa, 30, the Angels get an experienced major-league outfielder who is hitting .256 with six homers and 21 RBI this season. Ochoa has played in the majors for five different teams starting in 1995. His best season came in 2000 with the Reds, when he hit .316 with 13 homers and 56 RBI.",starting,commence;begin,join;initiate;commence;the first;set up;since;make a beginning;set in motion;come into existence;come into being;begin;date from;found
"""To play to win in technology, you innovate and you lead,"" he said. But manufacturing technology products is a costly and cyclical business. In June, IBM announced that it was taking a charge of more than $2 billion against earnings.",business,job;operation;endeavor;affair;pursuit;venture;industry;subject;enterprise;matter;institution;field;craft;trade;biz;free enterprise,job;affairs;occupation;operation;endeavor;affair;pursuit;venture;industry;franchise;process;concern;dealings;subject;enterprise;industrialism;line;employment;matter;exchange;institution;production and distribution;field;craft;trade;deal;biz;setup;fly-by-night operation;megacorp;buying and selling;market;free enterprise;profession;firm;issue;undertaking
"Karnes hated to pry, and skimmed over personal portions of the letters. Phone calls were monitored. An undercover force of Manhattan Project security agents infiltrated the base and bars in the little town of Wendover (population 103) to spy on airmen.",monitored,listen to;supervise;keep an eye on;review;observe;record;under surveillance;track;check;keep track of;audit;watch carefully,listen to;control;supervise;keep an eye on;review;observe;oversee;record;under surveillance;track;check;listen;keep track of;audit;watch carefully;survey
"However, as you know, the less cash outlay that we have right now the better. Lets wait and try to offset the amount we owe them with what they owe us - so I say wait until you get July and August done. What do you think the time frame is on this?",get,have,figure out;have;bring in;bring around;effect;grab;work out;strike;put out;wheedle;extort;get hands on;net;come to;satisfy;seize;clear;accomplish;secure;take in;achieve;attain;see;prepare;cash in on;manage desired goal;generate;score;rack up;reach;nail;bag;acquire;prevail upon;press
"“I …I noticed him from across the room when I was looking around for Rachel. He was standing right in front of some blue lights, so I couldn’t see him very well, but I noticed the way that the light set off his pale skin. It almost looked like the light bent around him without actually touching him directly.",very,"terribly;quite;particularly;extraordinarily;extremely;really;too;especially;much, really","truly;terribly;quite;awfully;particularly;pretty;substantially;notably;extraordinarily;incredibly;noticeably;extremely;really;remarkably;too;especially;much, really"
"“Baby, let’s go. It’s been over a week, and I want to dance. Let’s go together, you know you’ll have fun once you get into it.”",want,long;wish;need;have an urge for;desire;feel a need;yearn,demand;hanker;have need of;call for;long;wish;need;choose;have a passion for;have an urge for;hunger;aspire;desire;itch for;fancy;crave;feel a need;have ambition;have a yen for;ache;yearn;have;incline toward;thirst;stand in need of;aim;have eyes for;prefer;pine;starve;need be;could do with
"We haven't totally forgotten about it, but we're looking forward to this upcoming season. And to play well this season, we have to let last season go."" Mirror image: Ole Miss coach David Cutcliffe said that tempo is the only difference between quarterback Eli Manning and his brother Peyton, who played for Cutcliffe at Tennessee.",let,permit;concede;allow,grant;give leave;enable;cause;permit;concede;leave;allow;tolerate
"Now, can we get going?” I caught my breath and forced myself to look him in the eye. “Only if you stop beginning every sentence with my name.”",look,stare at;gaze;stare,study;view;stare at;express;gaze;face;glare;watch;get a load of;scan;stare;glance;focus
"“If the tree isn’t around, the dryad isn’t around. It’s as simple as that.” That made me a little sad.",simple,"direct;easy;plain;basic;straightforward;pure and simple;uncomplicated;clear, understandable","classic;direct;undeniable;naive;easy;shallow;senseless;sincere;effortless;stark;easy as pie;open and shut;plain;childlike;frank;innocent;basic;straightforward;pure and simple;unmistakable;not difficult;self-explanatory;uncomplicated;incomplex;unembellished;unelaborate;unsophisticated;unvarnished;fundamental;unostentatious;pure;simpleminded;clear, understandable;simple as abc"
"I heard the pulse already. We slammed against the doorway and I was laughing too, the pulse close enough to shake the doorframe and set up vibrations in my chest, Rachel in my arms because she’d used me to soften her landing. We kissed and slipped inside.",pulse,rhythm;throbbing;pulsation;throb;vibration;beating;beat,feeling;rhythm;throbbing;pulsation;throb;vibration;beating;beat;impact;motion
"We kissed and slipped inside. The old vaulted church was stripped down: there was no cloth on the altar, just a DJ’s toolkit and his beer. Through the dark, I could see three bolts left in the wall from where they’d taken down the crucifix.",cloth,linen;drape;fabric;cover;textiles,material;linen;drape;sheet;fabric;cover;textiles;synthetics;goods;dry goods
"He added: ""Everything is going the way you need it."" They also discussed the coming judging in ice dancing, in which the French and the Italian teams were the favorites. The second mobster said the French pair had ""only three judges,"" and of the two judges they needed to win the gold medal ""one is ours, and the other our friends will give them.""",favorites,top pick;front-runner;preference;choice;beloved;fave,top pick;number one;presumed winner;hopeful;shoo-in;front-runner;pick;preference;choice;beloved;fave;dear
"Already many foreign firms, especially banks, have their own cryptographers, conference speakers reported. Still, encrypting corporate communications is only a partial remedy. One expert, whose job is so politically sensitive that he spoke on condition that he wouldn't be named or quoted, said the expected influx of East European refugees over the next few years will greatly increase the chances of computer-maintenance workers, for example, doubling as foreign spies.",corporate,company;business,company;incorporated;industy;business base;office;headquarter;business
"I danced with Rachel for a while, but then something by the bar seemed to be pulling her eyes. She told me that she was heading for a drink and slipped out of the crowd. When she hadn’t come back halfway through the next song, I glanced over at the bar.",heading,go,look;run;leave;go;go first
"RxP opponents charge the APA with pushing its prescription-privileges agenda without adequately assessing support for it in the field. The 300-member SSCP is the only group within the APA to have taken a formal stance against prescription privileges. The APA has scheduled 30 minutes at its meeting in August for an RxP debate, but its leadership believes it already has an accurate sense of support for its RxP policy.",privileges,authorization;advantage;right,power;authorization;liberty;permission;sanction;authority;dispersement;favor;advantage;right;claim;ability;exemption;freedom;entitlement;allowance;prerogative
"Generally, they are halved lengthwise, the seeds and fibrous pulp removed and the flesh sliced into crescents. They are frequently blanched or salted and left to macerate for up to an hour, then rinsed and patted dry to tame the bitterness. Chinese hot-and-sour soup made with egg white and crabmeat often includes bitter melon.",tame,calm;lower;subdued;subdue;curb,dim;moderate;yoked;diluted;calm;lower;amenable;weak;overcome;subdued;dull;decrease;subdue;bridled;bland;harness;suppress;curb
"The federal complaint offers many details of the alleged conspiracy, including excerpts from a transcript of the Italian wiretaps. later suspended Le Gougne and Gailhaguet for three years. The federal complaint did not describe the possibility of a wider conspiracy or any contact between Tokhtakhounov, or his unnamed co-conspirators, with Le Gougne.",suspended,put a stop to;penalize;remove;postpone;halt;dismiss;put on hold,discontinue;rule out;waive;bar;put a stop to;hang down;omit;pink-slip;forbid;penalize;put an end to;bench;disbar;remove;postpone;halt;defer;dismiss;lay off;put on hold;break up;cease;delay;withhold;impeach;inactivate;lay aside
"On his metal desk were names of military men being ordered into the organization. He was calling bases all over the United States to line up their transfer to the desert outside Salt Lake City. ""Where is the authority?"" asked one officer who didn't want to lose a valuable man under his command.",calling,ring up;ring;dial;contact;phone;telephone,exclaim;bellow;holler;ring up;address;ring;dial;contact;scream;attempt to communicate by telephone;predict;proclaim;phone;arrange meeting;ask;regard;name;summon;invite;declare;stop in;solicit;telephone;beep;hail
list> Words of wisdom Julia Child doesn't have much use for fads and trends -- never has.,wisdom,knowledge;the wise;advice;astuteness;sageness,clear thinking;enlightenment;wise thinking;good judgment;perspicacity;reason;caution;sanity;prudence;knowledge;the wise;savvy;expertise;comprehension;foresight;experience;advice;insight;discernment;intelligence;sagacity;acumen;astuteness;judiciousness;shrewdness;sageness
"I turned to keep going, but he caught my arm again. “Don’t do this, kid! It’s a dumb idea.",kid,little one;young person;child;pal;lad;buddy;youngster;young friend;kiddo;son;boy;lass,girl;little one;young person;child;pal;juvenile;lad;man;buddy;youngster;young friend;kiddo;guy;teenager;youth;infant;son;baby;boy;young comrade;lass
"He didn’t move, just stared and held his drink. The next time I saw them, his mouth was moving. She nodded and he took her arm.",next,subsequent;following,"succeeding;adjacent;closest;subsequent;ensuing;following;coming immediately after in space, time, order"
"“I think that the person who stole the girl we’re looking for might be a vampire. Isis …you know some way to locate the undead, don’t you?” “I do.",know,understand;recognize;be familiar with;be aware of;have knowledge of;have;have familiarity,understand;recognize;be informed;perceive;be acquainted with;discern;apperceive;be versed;feel certain;be familiar with;have information;be aware of;have knowledge of;comprehend;have;fathom;be cognizant;have familiarity;understand information;identify;savor;get acquainted;distinguish;keep up on;see;get the idea;grasp;on top of;fraternize
Tibbets hated paperwork. Karnes thought it was a breeze. They were a wartime match that changed the world.,thought,perceive;feel;presume;consider;reckon;conclude;reason,contemplate;appraise;analyze;vision;perceive;take;envisage;be convinced;feel;mull;gather;have in mind;recollect;deem;muse;assume;ruminate;regard;judge;presume;determine;consider;suppose;reckon;speculate;suspect;reflect;conclude;reason;opine;expect;visualize;surmise
"“I don’t think he’s there,” Dvorov shouted to me. “It must have been wishful thinking.” “No, I saw him!",wishful,desiring;hopeful,greedy;acquisitive;yearning;longing;desiring;lustful;craving;aspiring;wishing;daydreaming;optimistic;desirous;longful;ambitious;hopeful
"In a blink of the strobe light, he was on his feet and dashing from the room. “Come on!” shouted Nepthys.",Come,hurry,get;turn out;turn up;move toward;get in;enter;hurry;go;proceed;spring in;come over;move
"Karnes was the personnel and classification officer. He was only a captain, but he had been left in charge at Wendover the day Tibbets surprised them by landing a B-29, a new plane no one at Wendover had seen. Tibbets had just been ordered to organize a combat force to drop a bomb being developed by a secret enterprise known as the Manhattan Project.",new,up-to-date;fresh;brand new;recent;just develop;untouched;untried;brand-new;modernized;cuttingedge,modern;up-to-date;altered;unspoiled;unseasoned;contemporary;fresh;unfamiliar;brand new;different;recent;just develop;untouched;another;untried;virgin;modernistic;brand-new;modernized;state-of-the-art;innovative;novel;cuttingedge
"As I got older, I shook the tales off with a nod and a ""Yes, Nana."" I got older and went to school, then to college, and I replaced the dreams my Nana gave me with the music DJs mixed for crowds in clubs, webs of pulse that shook us until we could believe anything. My girlfriend Rachel and I would go to the clubs near our school.",then,later;and;from there on;thereupon;consequently;afterwards;soon after;next,thus;later;ergo;and;from there on;thenceforth;thereupon;whence;at that instant;at another time;at that moment;hence;afterward;at that point;on that occasion;from then on;consequently;continue;afterwards;soon after;next
"Nepthys walked towards it and pressed his bloody palm against it, opening the door. “Are you coming?” We slipped through the door and came out, not inside the building, but on a busy street in a completely different part of town.",coming,come over,draw near;come over;move toward;join;arrive;approach;pop in;accompany me;get in;show up;near
"Some working chefs say they routinely review conservation group Web sites, government reports and industry sources. ""For me, it's very difficult to be certain that the information which is given to me is real,"" said Eric Ripert, chef at Le Bernardin, a four-star seafood restaurant in Manhattan. ""I don't know.",certain,sure;convinced;assured;definite;undoubtable;positive;guaranteed;confident;undoubting;undoubtful,concluded;assure;undoubted;evident;sure;cocksure;real;definitive;questionless;convinced;true;assured;precise;sure thing;definite;ensured;certified;decided;determined;genuine;undoubtable;incontrovertible;absolute;positive;reliable;clear;satisfied;satisfy;unequivocal;guaranteed;verifiable;provable;confident;confirmable;undoubting;undoubtful;secure;conclusive;safe;selfconfident
"Karnes met Tibbets when the 29-year-old bomber pilot walked into Karnes' office at Wendover Army Air Field on the Utah-Nevada border. Karnes was the personnel and classification officer. He was only a captain, but he had been left in charge at Wendover the day Tibbets surprised them by landing a B-29, a new plane no one at Wendover had seen.",personnel,staff;human resource;crew;work force;human resources;workers;troops,staff;corps;human resource;troop;faculty;crew;work force;helpers;people;members;men and women;human resources;workers;troops
"They believe that if prescriptive authority becomes the norm, biomedical requirements will inevitably seep into the psychology curriculum, at the expense of traditional psychological science and methodology. Lilienfeld feels that many clinical psychologists already receive inadequate training in fundamentals such as research design and evaluation. RxP opponents charge the APA with pushing its prescription-privileges agenda without adequately assessing support for it in the field.",inadequate,"deficient;not enough;mediocre;lacking;less than stellar;limited;meager;sparse;inferior;incomplete;too little;skimpy;insufficient;scanty;minimal;faulty;defective, insufficient, incompetent","scarce;deficient;not enough;mediocre;lacking;less than stellar;limited;lousy;unproductive;inconsiderable;imperfect;stinted;insubstantial;inappreciable;sketchy;meager;incompetent;sparse;stunted;bad;inferior;weak;incomplete;too little;failing;niggardly;small;thin;skimpy;inapt;insufficient;scanty;minimal;feeble;faulty;short;unqualified;poor;defective, insufficient, incompetent"
