sentence,target,gold,ls_concat
The Transcendental Meditation people advertised this :  Meditation can fix many sicknesses .,fix,cure;heal,cure;solve;correct;resolve;settle;heal;control;repair;change;address
"Now , I m not sure how I went from missing two weeks to six , but intend to fix that as I go .",fix,mend;correct;compensate;sort;make;repair,correct;change;repair;patch;solve;improve;handle;resolve;update;tackle
"  I feel I can get a lot more done as a selectman by being innovative and fixing the problems we have with cash flows , because they occur every year .",fixing,resolve;solve;mend;repair,solving;repairing;resolving;correcting;addressing;curing;tackling;changing;treating;working
Getting back to the day when doctors looked at the whole person .and did not expect a pill to fix the mind .,fix,cure;heal;mend,change;repair;cure;solve;correct;resolve;heal;settle;help;kill
"And thanks to our users , we now have around 30 engines in the database ... New features : - Better layout - Better copy - Small bugs fixed Bugs : - ie hell + much more Posted by eric at 05:24 PM | Comments ( 3 ) Investment News As part of the new international expansion strategy 24hdc.com now accepts USD for investments .",fixed,repair;correct;cure;resolve;patch,
"Er , tilty. by anna at July 17 , 2003 03:37 PM yeah , in our case , whoever did the foundation fucked up royally. when the house settled , it was fubar. should be pretty easy to fix though...just a matter of getting the pilings set to the right heights. by JC at July 17 , 2003 06:32 PM add a comment Name : Email Address : URL : Remember personal info ?",fix,repair;correct;mend;put;sort,repair;solve;patch;change;correct;settle;resolve;handle;pin;mend
I guess I ll be able to hit the hot button many times as I m always at the dealer getting my car fixed .,fixed,mend;repair,repaired;changed;set;corrected;bought;patched;replaced;done;started;adjusted
The long-term problem with Social Security after 2042 could be totally fixed by raising the cap on income to a level needed to generate sufficient income to enable the system to continue to pay 100 percent indefinitely .,fixed,mend;resolve;correct;solve,resolved;corrected;settled;solved;repaired;contained;addressed;broken;reduced;committed
The only way to fix this is for linux to get enough market share to be able to make demands for hardware support. [ reply ] [ top ] [ Â » ] Releasing specs is the only answer. by The Nose Who Knows - Feb 26th 2001 04:29:40 gt; The other reason why vendors do nt support linux gt; most of the time for commidity hardware such as gt; webcam is low returns on investments .,fix,correct;solve;improve;mend;do;resolve,solve;change;repair;cure;correct;patch;handle;settle;resolve;close
"But if no prayers can alter your purpose , dear one , husband , if you are so fixed on going , take me with you , also !",fixed,set;intent;stick;determine,set;keen;focused;committed;settled;pinned;concentrated;dependent;locked;straight
"Suddenly there was a scattering of fire , which three outfielders caught the brunt ; the centerfield was hit and was captured , left and right field managed to get back to our lines .",managed,succeed;be;endeavour,got;proceeded;succeeded;went;struggled;failed;tried;helped;shot;decided
 C158 ( cf ex R145 )  The Provincial in Councilor the Superior ofthe Delegation in Councilsets the financial competency of local Superiorsand their Councilsand determines which assets can be managed by individualOblates and by local Superiors and their Councils .,managed,direct;handle;organise;oversee;control,maintained;handled;management;governed;administered;controlled;held;manager;supervised;directed
"BUSINESS DEVELOPMENT MANAGER STRATEGIC ALLIANCES This individual will be responsible for coordinating , negotiating , launching , and managing Accuity s partner relationships .",managing,take;direct;handle;organise;look;control,running;shooting;governing;monitoring;management;handling;overseeing;marketing;directing;modelling
"A married woman retains ownership of any property she brought to the marriage , but the husband has the right to manage the property and to enjoy profits from the property .",manage,control;govern;organise,manager;management;administer;control;maintain;govern;run;oversee;handle;use
"We do not need to ask for your specific permission to do these things , as explained below : Treatment Partners health care providers will use and share your health information to provide and manage your health care and related services .",manage,conduct;direct;organise;coordinate;deal;control,manager;monitor;management;administer;maintain;control;coordinate;handle;plan;oversee
"According to a White House press release , al-Taqwa and its affiliates  raise , manage , invest , and distribute funds for al-Qaeda ; provide terrorist supporters with internet service and secure telephone communications ; and arrange for the shipment of weapons .",manage,take;handle;organise;coordinate;control,management;maintain;administer;oversee;direct;fund;control;monitor;plan;coordinate
"That is , if the average person ( say this is 98 % of people ) amasses 10 things , if I manage to acquire 20 things then perhaps my account is not worth twice as much but maybe 10x or 100x as much as average .",manage,be;success;undertake;succeed,aim;proceed;succeed;try;get;struggle;shoot;attempt;resolve;decide
There are different types of managed care systems .,managed,control;coordinate;administer,management;manager;professional;coordinated;controlled;organized;directed;health;planned;organised
Saddam Hussein did nt manage to defeat the Iranians .,manage,succeed;be;success;contrive,succeed;attempt;seem;try;learn;resolve;aim;proceed;struggle;bother
"The M107 program is managed by the Project Manager Soldier Weapons with engineering support provided by PicatinnyÂs Armament Research , Development and Engineering Center .",managed,conduct;run;direct;coordinate;administer;control,maintained;governed;administered;overseen;hosted;designed;directed;run;operated;guided
"It is really a neat plan , well documented and a model for libraries that are still working on their plans. ~ ~ ~ Corrections to April 2003 issue of LDD On the Road : Some things slipped by when putting together last month’s issue of LDD On the Road .",neat,clever;good;well-formulated;orderly,cool;nice;nifty;great;cute;pretty;slick;fun;sweet;good
"And the prize for neatest , simplest idea has to go to britkid.org , a resource for opening children s eyes to the diversity of our culture. www.skoool.com www.nrich.maths.org.uk www.stagework.org.uk www.learningcurve.gov.uk www.britkid.org Email Hotmail is the free email service everyone knows .",neatest,clever;smart,simplest;coolest;smartest;smallest;shortest;biggest;easiest;best;largest;greatest
Over the course of the 20th century scholars have learned that such images tried to make messy reality neater than it really is .,neater,tidy;simple,nicer;cleaner;warmer;smaller;cheaper;quieter;quicker;hotter;stranger;faster
"Strong field patterns created by hedgerows give the landscape a neat , well structured appearance .",neat,tidy;order;orderly,tidy;nice;clean;neatly;slick;sharp;calm;tight;pretty;cool
"Besides a list of specific things you wish they would talk about , the following things are helpful additions to the neat packet you hand them when you ask them to write the letter .",neat,simple;compact;tidy;trim;orderly,cool;nice;tidy;cute;helpful;nifty;pretty;clean;little;awesome
" -4 Time IROC Champion Mark Martin Indy 500 , CART and IROC champion , Al Unser Jr. said ,  I watched my father and uncle Bobby race in IROC and as a kid I thought it would be really neat if someday I would get an opportunity to run IROC .",neat,great;cool;pleasing,nice;cute;nifty;dope;fun;sweet;coolest;awesome;great;slick
The Society for Academic Emergency Medicine is a neat little bunch of people who are dedicated to furthering the interests of academia and research in the youngest of the medical specialties .,neat,cool;great;tidy;orderly;nice,nifty;nice;cool;cute;tidy;pretty;fun;handy;great;quirky
A weblog by Tom Coates who thinks up neat stuff for Yahoo !,neat,clever;great;cool,cool;nice;nifty;weird;cute;great;fun;useful;awesome;funny
But not as odd as the 35 others who bedded down with him each night in a neat row down the street on a carpet of cardboard boxes and multicoloured raffia beach mats .,neat,tidy;uniform;ordered;orderly,tidy;tight;clean;neatly;cool;snug;pretty;straight;messy;nice
"Link to the full FEDERAL GOVERNMENT DEBT REPORT with pictures - there are 9 color graphics that tell the whole story - - so , give the next page time to load those neat pictures .",neat,great;cool;terrific,cool;nifty;nice;cute;awesome;pretty;great;interesting;fancy;fun
"What are the important variables that create a rich online learning experience , one that makes real improvements in academic practice ?",rich,rewarding;full;detail;significant,deep;good;enriched;strong;dense;robust;wealthy;vibrant;fine;rewarding
"Trees on Anmyeondo used to be thick and lush to the extent of prompting a saying , Â¡Â°You can become rich with an axe.Â¡Â± But now only few trees are left due to reckless deforestation since the time of KoreaÂ¡Â¯s liberation from Japanese colonial rule .",rich,wealthy,wealthy;thick;affluent;good;prosperous;enriched;sick;happy;millionaire;drunk
"No , we re not talking about the fortunes of a rich and powerful democracy .",rich,wealthy,wealthy;cheap;weak;deep;young;good;sick;strong;simple;long
"Functional Foods and Drinks , Sports Drinks , Slimming , Supplements Functional foods : Glico launches this chocolate rich in GABA for its relaxing effect .",rich,packed;high;abounding;full;abundant;full,high;enriched;deep;heavy;thick;dense;lush;wealthy;strong;abundant
Africas central problems in the WTO revolve around the imbalances and biases created by rich countries in the Uruguay Round Agreement ( URA ) .,rich,wealthy,wealthy;affluent;poorer;weak;developed;developing;strong;wealthier;cheap;oppressed
"Today half the world s population lives on less than $ 2 a day , 80 percent of the global population has only 20 percent of global GDP , and within each country there is a massive imbalance between rich and poor .",rich,wealthy,wealthy;affluent;good;wealth;high;well;strong;millionaire;elite;middle
"Here Wagner , in depicting every shade of sexual love , developed a style richer and more chromatic than anyone had previously attempted , using dissonance and its urge for resolution in a continuing pattem to build up tension and a sense of profound yearning ; Act 2 is virtually a continuous love duet , touching every emotion from the tenderest to the most passionately erotic .",richer,full;lavish;elaborate;vibrant,thicker;deeper;wealthier;wider;larger;bigger;better;enriched;fuller;poorer
"He brings an incredibly rich and diverse background that includes everything from executive coaching , learning  development and management consulting , to senior operations roles , mixed with a masters in organizational development .",rich,full;ample;detailed;lush;valuable;significant,deep;enriched;strong;wealthy;thick;clear;dense;vibrant;diverse;long
Rich people manage their money well .,Rich,wealthy;well-off,Many;Few;Smart;Why;Good;Bad;Other;These;Real;Let
"I also think that it will probably take the  sword  of nations ( ala Rom 13 ) combined with the good news offered by the body of Christ to touch the hearts and change the ways of the  rich Africans  ( and rich Americans and other westerners , frankly ) to bring change .",rich,wealthy,wealthy;cheap;good;affluent;angry;lucky;dead;bad;young;stupid
"Rubinstein held the gambit pawn with 4.Bf4 and 7.Qd5 , but his neglect of kingside development was severely punished .",severely,harshly;gravely;seriously,harshly;heavily;severe;badly;strongly;firmly;significantly;brutally;sharply;substantially
"This veteran , the oldest pensioner in Great Britain , entered the army in 1758 , and was severely wounded at the battle of Quebec under General Wolfe , in consequence of which he became an out-pensioner of Chelsea Hospital , and continued so for the period of seventy-five years .",severely,seriously;gravely;badly,badly;heavily;seriously;severe;lightly;significantly;harshly;dramatically;brutally;critically
Perhaps the effect of West Nile Virus is sufficient to extinguish endemic birds already severely stressed by habitat losses .,severely,extremely;critically;gravely;seriously;highly,badly;heavily;severe;seriously;significantly;deeply;sorely;strongly;highly;harshly
She looked as severely as she could muster at Draco .,severely,sternly;gravely;harshly;seriously,severe;harshly;badly;sharply;seriously;heavily;sorely;dramatically;furiously;prominently
A day before he was due to return to the United States Patton was severely injured in a road accident .,severely,badly;gravely;seriously;critically,badly;seriously;severe;critically;heavily;violently;brutally;dramatically;significantly;fatally
"Use market tools to address environmental issues , such as eliminating subsidies for industries that severely harm the environment , like coal .",severely,badly;gravely;seriously;dramatically,harshly;dramatically;severe;badly;seriously;critically;significantly;heavily;sharply;substantially
This picture was severely damaged in the flood of 1913 and has rarely been seen until now .,severely,badly;gravely;devastatingly;seriously,badly;heavily;significantly;seriously;severe;harshly;extensively;deeply;critically;dramatically
I was very disappointed when the author did not go into detail about how he regained his faith after having it severely undermined by his early studies in theology at university .,severely,seriously;gravely;badly;heavily,badly;dramatically;significantly;terribly;heavily;harshly;sorely;brutally;firmly;seriously
"We do continue to support research on the differentiation of adult precursor cells into beta cells , but that s a severely limited field in terms of how successful it has been .",severely,extremely;gravely;dramatically,severe;seriously;fairly;significantly;rather;critically;strictly;highly;dramatically;relatively
Mutual Funds are so severely conflicted that they will not avail themselves of the alleged benefits of the proposed rule .,severely,seriously;badly;gravely;extremely;heavily,badly;heavily;severe;profoundly;deeply;dramatically;seriously;drastically;violently;significantly
Leaders of some of the most powerful states in the world stand by and give the impression that this is just the new way of life for Zimbabweans .,stand,wait;remain;look;watch;do-nothing;remain;remain,stick;look;swear;stay;walk;pass;side;step;come;close
We cannot stand as helpless spectators while millions die for want in a world of plenty .,stand,remain;sit;wait;remain,stay;remain;live;endure;wait;continue;abide;rise;pass;keep
"She knew that behind this remarkable new event that had overwhelmed AllahÂs Messenger ( sallallahu Âalayhi wa sallam ) lay something great that Allah ( Subhanahu wa taÂala ) had prepared for His Messenger , so she spoke her kind and sweet words of encouragement , filling him with confidence , tranquility and firm conviction : ÂBe of good cheer , O cousin , and stand firm .",stand,remain;stay;endure;be,rise;stick;stay;keep;hold;step;remain;live;set;walk
Liberals(135)+NDP(19)=154=the usual yapping NDP of no consequence Liberals(135)+Bloc(54)=189=oui the government stands or non it falls Do nt count on the Bloc to squander their good fortune like they did the last time they had 54 either .,stands,remain;continue;prevail;remain,rises;falls;lies;sits;hangs;stays;exists;cracks;sticks;passes
"1 MCAS stands for the Massachusetts Comprehensive Assessment System , a standards test administered to students in grades 3 , 4 , 5 , 6 , 7 , 8 , and 10 throughout the state .",stands,position;support;location;placement;place;table;frame;platform,holds;calls;goes;passes;accounts;reaches;stretches;speaks;rises;runs
"And secondly , the Consensus demonstrated to the World that Africa no longer stands on the fridges or sit on the fence when issues likely to have impacts on its economies and its people are being discussed .",stands,support;base;table;upright,sits;lies;sticks;steps;acts;sets;walks;plays;stays;hangs
Sapling and Pole Stages to Maturity Growth and Yield- Mature northern red oaks are usually from 20 to 30 m ( 65 to 98 ft ) tall and 61 to 91 cm ( 24 to 36 in ) in d.b.h. in undisturbed stands on good sites .,stands,support;base;structure,trees;grounds;fields;stalls;walks;spots;places;stays;rows;areas
The stand is not included .,stand,represent;symbolize;abbreviate,stick;table;walk;support;leg;bench;step;handle;display;pole
"Here , its walnut case has been mounted on an adjustable stand to make one of the earliest desk sets .",stand,stance;position;attitude,stick;leg;step;table;platform;support;shelf;display;spring;face
"The denomination essentially voted to take a neutral stand on many varying interpretations of Genesis 1. Feedback Letter >From : Stephen Craig Comment : First , let me compliment all of you for a great site .",stand,remain;stay;wait;rely,stance;position;step;statement;choice;line;policy;spot;ground;page
